Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,0.1,0.11,0.12,0.13,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.23,0.24,0.25,0.27,0.28,0.3,0.32,0.33,0.35,0.36,0.38,0.39,0.41,0.42,0.43
100101,0.55,0.66,0.8,0.96,1.07,1.18,1.29,1.41,1.53,1.66,1.77,1.91,2.05,2.16,2.29,2.42,2.56,2.7,2.86,3.01,3.19,3.35,3.5,3.66,3.79,3.92,4.04,4.12
100102,1.79,1.89,2.02,2.17,2.28,2.39,2.49,2.61,2.73,2.85,2.97,3.1,3.24,3.35,3.48,3.61,3.75,3.89,4.05,4.2,4.38,4.54,4.69,4.84,4.97,5.1,5.22,5.3
100103,4.8,4.96,5.14,5.32,5.48,5.62,5.76,5.9,5.99,6.07,6.03,5.68,5.71,5.78,5.89,5.97,6.04,6.09,6.12,6.09,5.89,4.92,4.77,4.93,5.04,5.15,5.24,5.29
100104,0.34,0.38,0.43,0.48,0.53,0.57,0.62,0.67,0.71,0.76,0.8,0.84,0.88,0.9,0.94,0.97,1.0,1.04,1.08,1.12,1.17,1.22,1.26,1.3,1.34,1.37,1.39,1.41
100105,0.73,0.88,1.08,1.31,1.47,1.61,1.76,1.94,2.11,2.3,2.48,2.7,2.92,3.13,3.34,3.57,3.81,4.04,4.3,4.54,4.79,4.96,5.19,5.45,5.68,5.91,6.12,6.26
100106,1.87,1.94,2.02,2.1,2.17,2.25,2.33,2.43,2.51,2.61,2.7,2.8,2.9,2.97,3.06,3.14,3.23,3.3,3.38,3.44,3.46,3.26,3.28,3.4,3.49,3.58,3.67,3.72
100107,1.13,1.4,1.7,2.01,2.29,2.56,2.84,3.12,3.37,3.65,3.85,4.1,4.36,4.46,4.65,4.84,5.04,5.23,5.47,5.72,6.02,6.27,6.52,6.77,6.96,7.14,7.28,7.36
100108,1.92,2.15,2.47,2.81,3.07,3.31,3.56,3.84,4.1,4.4,4.67,4.98,5.31,5.55,5.84,6.14,6.47,6.78,7.14,7.5,7.9,8.27,8.62,8.98,9.28,9.58,9.85,10.01
100109,0.47,0.57,0.69,0.83,0.95,1.05,1.15,1.26,1.36,1.48,1.57,1.68,1.8,1.87,1.96,2.06,2.16,2.26,2.38,2.5,2.64,2.76,2.88,3.0,3.1,3.19,3.27,3.32
100110,1.0,1.26,1.84,2.45,3.01,3.55,4.09,4.36,4.6,4.86,5.06,5.31,5.57,5.69,5.89,6.09,6.29,6.5,6.74,6.98,7.25,7.42,7.65,7.9,8.1,8.3,8.45,8.55
100111,0.96,1.12,1.31,1.51,1.68,1.84,2.01,2.19,2.34,2.52,2.65,2.81,2.98,3.06,3.2,3.32,3.46,3.59,3.75,3.91,4.1,4.23,4.39,4.56,4.69,4.82,4.92,4.99
100112,1.59,1.78,1.99,2.23,2.43,2.61,2.8,3.01,3.2,3.4,3.58,3.79,4.0,4.14,4.32,4.5,4.7,4.89,5.11,5.33,5.59,5.82,6.04,6.27,6.45,6.63,6.79,6.88
100113,3.15,3.31,3.49,3.7,3.86,3.99,4.12,4.26,4.36,4.44,4.41,4.07,4.11,4.21,4.35,4.48,4.62,4.75,4.9,5.04,5.17,5.15,5.26,5.43,5.57,5.7,5.81,5.88
100114,1.09,1.3,1.54,1.82,2.04,2.24,2.45,2.68,2.89,3.13,3.33,3.57,3.82,3.98,4.2,4.41,4.65,4.87,5.14,5.4,5.7,5.97,6.23,6.5,6.72,6.94,7.13,7.25
100116,0.62,0.71,0.83,0.96,1.06,1.15,1.25,1.35,1.45,1.56,1.65,1.76,1.88,1.96,2.06,2.16,2.26,2.37,2.49,2.62,2.76,2.88,3.0,3.13,3.23,3.33,3.41,3.47
100117,3.39,3.52,3.69,3.88,4.03,4.16,4.29,4.44,4.59,4.75,4.9,5.07,5.26,5.41,5.58,5.75,5.93,6.1,6.3,6.47,6.63,6.66,6.81,7.0,7.17,7.33,7.49,7.59
100118,1.21,1.45,1.77,2.12,2.39,2.62,2.88,3.16,3.43,3.73,4.0,4.32,4.66,4.91,5.21,5.52,5.85,6.17,6.54,6.9,7.3,7.62,7.97,8.34,8.66,8.97,9.25,9.43
100119,0.98,1.2,1.46,1.75,1.98,2.19,2.41,2.64,2.85,3.09,3.28,3.51,3.76,3.9,4.1,4.3,4.51,4.71,4.96,5.2,5.47,5.67,5.9,6.15,6.36,6.55,6.72,6.83
100120,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.23,0.23,0.23,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.26,0.25,0.24,0.24,0.24,0.25,0.25,0.25,0.26
100122,1.01,1.15,1.32,1.51,1.66,1.8,1.95,2.11,2.25,2.41,2.54,2.69,2.85,2.94,3.07,3.2,3.34,3.48,3.64,3.81,4.0,4.16,4.33,4.49,4.62,4.75,4.86,4.93
100123,2.69,2.81,2.94,3.1,3.22,3.33,3.45,3.58,3.69,3.82,3.93,4.06,4.19,4.27,4.39,4.5,4.62,4.74,4.87,5.01,5.16,5.27,5.4,5.54,5.65,5.77,5.87,5.93
100124,0.84,0.87,0.91,0.96,1.0,1.03,1.07,1.11,1.15,1.2,1.24,1.29,1.34,1.38,1.42,1.47,1.52,1.57,1.63,1.68,1.74,1.8,1.85,1.9,1.95,1.99,2.03,2.06
