Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,3.0,4.0,5.0,6.0,8.0,10.0,13.0,16.0,18.0,21.0,24.0,26.0,29.0,31.0,34.0,36.0,38.0,40.0,42.0,43.0,44.0,45.0,45.0,46.0,46.0,46.0,46.0,46.0
100101,239.0,301.0,389.0,495.0,622.0,800.0,998.0,1204.0,1402.0,1593.0,1774.0,1955.0,2146.0,2343.0,2527.0,2698.0,2853.0,2993.0,3116.0,3193.0,3241.0,3281.0,3316.0,3345.0,3370.0,3392.0,3411.0,3426.0
100102,774.0,954.0,1232.0,1598.0,2068.0,2736.0,3479.0,4248.0,4981.0,5686.0,6351.0,7013.0,7687.0,8376.0,9018.0,9613.0,10147.0,10628.0,11045.0,11401.0,11705.0,11955.0,12131.0,12263.0,12352.0,12429.0,12483.0,12521.0
100103,713.0,894.0,1165.0,1520.0,1975.0,2620.0,3337.0,4083.0,4795.0,5481.0,6129.0,6774.0,7446.0,8133.0,8775.0,9372.0,9909.0,10390.0,10803.0,11159.0,11464.0,11716.0,11914.0,12053.0,12134.0,12204.0,12253.0,12293.0
100104,264.0,331.0,422.0,527.0,645.0,810.0,990.0,1177.0,1355.0,1527.0,1689.0,1852.0,2022.0,2197.0,2352.0,2471.0,2578.0,2675.0,2759.0,2832.0,2894.0,2941.0,2972.0,2997.0,3013.0,3028.0,3040.0,3049.0
100105,1053.0,1271.0,1601.0,2014.0,2521.0,3233.0,4015.0,4822.0,5590.0,6328.0,7023.0,7716.0,8402.0,9103.0,9755.0,10358.0,10896.0,11378.0,11794.0,12128.0,12405.0,12612.0,12732.0,12792.0,12844.0,12893.0,12934.0,12969.0
100106,251.0,317.0,409.0,520.0,652.0,839.0,1043.0,1256.0,1460.0,1656.0,1842.0,2028.0,2224.0,2425.0,2609.0,2772.0,2918.0,3051.0,3167.0,3243.0,3300.0,3349.0,3391.0,3424.0,3452.0,3476.0,3494.0,3506.0
100107,730.0,912.0,1202.0,1604.0,2146.0,2920.0,3788.0,4692.0,5558.0,6394.0,7184.0,7969.0,8788.0,9623.0,10404.0,11129.0,11781.0,12371.0,12885.0,13328.0,13708.0,14033.0,14304.0,14524.0,14707.0,14859.0,14972.0,15048.0
100108,1039.0,1266.0,1621.0,2086.0,2686.0,3535.0,4479.0,5458.0,6393.0,7294.0,8144.0,8990.0,9848.0,10725.0,11539.0,12284.0,12952.0,13554.0,14075.0,14520.0,14899.0,15221.0,15489.0,15692.0,15833.0,15916.0,15979.0,16032.0
100109,427.0,524.0,675.0,875.0,1135.0,1503.0,1911.0,2334.0,2737.0,3126.0,3493.0,3858.0,4230.0,4611.0,4966.0,5295.0,5591.0,5857.0,6088.0,6286.0,6454.0,6598.0,6718.0,6803.0,6861.0,6900.0,6924.0,6942.0
100110,604.0,755.0,993.0,1318.0,1753.0,2374.0,3069.0,3794.0,4490.0,5161.0,5797.0,6430.0,7093.0,7771.0,8406.0,8997.0,9529.0,10011.0,10432.0,10796.0,11109.0,11377.0,11604.0,11775.0,11911.0,12025.0,12104.0,12156.0
100111,532.0,665.0,871.0,1148.0,1511.0,2027.0,2604.0,3203.0,3775.0,4326.0,4847.0,5365.0,5903.0,6453.0,6963.0,7428.0,7846.0,8224.0,8553.0,8836.0,9079.0,9287.0,9458.0,9595.0,9701.0,9776.0,9836.0,9883.0
100112,715.0,879.0,1136.0,1479.0,1927.0,2561.0,3266.0,3995.0,4690.0,5357.0,5987.0,6613.0,7249.0,7899.0,8504.0,9065.0,9568.0,10021.0,10413.0,10748.0,11033.0,11275.0,11477.0,11636.0,11742.0,11806.0,11841.0,11871.0
100113,475.0,587.0,760.0,987.0,1280.0,1695.0,2156.0,2633.0,3087.0,3524.0,3937.0,4346.0,4765.0,5192.0,5591.0,5960.0,6292.0,6591.0,6850.0,7071.0,7260.0,7420.0,7550.0,7616.0,7670.0,7713.0,7744.0,7766.0
