Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,1.0,1.0,2.0,2.0,4.0,5.0,7.0,9.0,12.0,15.0,18.0,20.0,23.0,26.0,28.0,31.0,34.0,36.0,38.0,40.0,41.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
100101,86.0,129.0,212.0,308.0,419.0,525.0,648.0,859.0,1055.0,1236.0,1400.0,1549.0,1684.0,1812.0,1927.0,2019.0,2081.0,2110.0,2119.0,2108.0,2082.0,2049.0,1944.0,1838.0,1731.0,1623.0,1514.0,1404.0
100102,105.0,156.0,228.0,334.0,478.0,617.0,823.0,1284.0,1715.0,2115.0,2484.0,2822.0,3129.0,3408.0,3657.0,3869.0,4028.0,4148.0,4219.0,4246.0,4238.0,4209.0,3981.0,3751.0,3522.0,3293.0,3062.0,2831.0
100103,141.0,202.0,291.0,432.0,644.0,850.0,1114.0,1641.0,2132.0,2586.0,3003.0,3383.0,3727.0,4034.0,4310.0,4541.0,4713.0,4841.0,4907.0,4906.0,4861.0,4797.0,4529.0,4260.0,3992.0,3727.0,3461.0,3194.0
100104,31.0,43.0,62.0,98.0,163.0,227.0,305.0,454.0,593.0,722.0,841.0,949.0,1047.0,1132.0,1211.0,1277.0,1329.0,1368.0,1390.0,1387.0,1371.0,1352.0,1276.0,1200.0,1124.0,1048.0,973.0,897.0
100105,66.0,115.0,190.0,289.0,430.0,572.0,792.0,1320.0,1849.0,2378.0,2907.0,3436.0,3965.0,4503.0,5041.0,5569.0,6062.0,6532.0,6981.0,7404.0,7803.0,8220.0,8248.0,8275.0,8304.0,8334.0,8365.0,8397.0
100106,65.0,112.0,203.0,309.0,438.0,569.0,724.0,987.0,1249.0,1510.0,1767.0,2023.0,2280.0,2550.0,2824.0,3087.0,3321.0,3519.0,3706.0,3872.0,4026.0,4188.0,4216.0,4243.0,4271.0,4301.0,4330.0,4360.0
100107,90.0,147.0,243.0,390.0,581.0,763.0,1041.0,1672.0,2264.0,2814.0,3322.0,3789.0,4215.0,4609.0,4963.0,5267.0,5503.0,5678.0,5783.0,5830.0,5830.0,5806.0,5500.0,5191.0,4880.0,4568.0,4254.0,3937.0
100108,81.0,121.0,181.0,271.0,385.0,491.0,682.0,1161.0,1609.0,2026.0,2412.0,2765.0,3088.0,3383.0,3646.0,3872.0,4049.0,4186.0,4274.0,4322.0,4337.0,4329.0,4094.0,3857.0,3619.0,3382.0,3143.0,2904.0
100109,62.0,101.0,149.0,213.0,301.0,385.0,505.0,782.0,1039.0,1278.0,1497.0,1697.0,1878.0,2042.0,2187.0,2307.0,2393.0,2459.0,2499.0,2511.0,2501.0,2480.0,2340.0,2200.0,2060.0,1921.0,1782.0,1644.0
100110,69.0,103.0,155.0,255.0,412.0,567.0,791.0,1296.0,1769.0,2208.0,2613.0,2984.0,3322.0,3625.0,3899.0,4134.0,4321.0,4470.0,4559.0,4588.0,4577.0,4547.0,4296.0,4044.0,3791.0,3539.0,3287.0,3034.0
100111,59.0,103.0,176.0,280.0,418.0,558.0,788.0,1347.0,1906.0,2464.0,3021.0,3577.0,4134.0,4699.0,5266.0,5823.0,6350.0,6853.0,7327.0,7775.0,8201.0,8642.0,8662.0,8683.0,8704.0,8728.0,8752.0,8776.0
100112,139.0,212.0,309.0,448.0,640.0,832.0,1113.0,1741.0,2367.0,2992.0,3614.0,4235.0,4854.0,5474.0,6093.0,6693.0,7243.0,7781.0,8275.0,8726.0,9151.0,9576.0,9577.0,9578.0,9581.0,9591.0,9603.0,9616.0
100113,177.0,263.0,389.0,552.0,766.0,976.0,1215.0,1636.0,2027.0,2388.0,2718.0,3017.0,3287.0,3532.0,3749.0,3923.0,4030.0,4099.0,4122.0,4094.0,4031.0,3951.0,3735.0,3518.0,3301.0,3083.0,2866.0,2647.0
100114,153.0,213.0,297.0,398.0,518.0,609.0,770.0,1110.0,1416.0,1689.0,1927.0,2133.0,2306.0,2449.0,2560.0,2631.0,2651.0,2636.0,2580.0,2485.0,2360.0,2216.0,1968.0,1720.0,1472.0,1224.0,976.0,726.0
100116,32.0,47.0,71.0,120.0,202.0,287.0,415.0,707.0,999.0,1291.0,1582.0,1872.0,2162.0,2450.0,2741.0,3028.0,3305.0,3578.0,3826.0,4045.0,4251.0,4460.0,4463.0,4466.0,4469.0,4474.0,4479.0,4484.0
100117,91.0,142.0,216.0,339.0,512.0,688.0,992.0,1748.0,2505.0,3261.0,4016.0,4771.0,5525.0,6282.0,7040.0,7788.0,8501.0,9197.0,9843.0,10450.0,11034.0,11624.0,11639.0,11654.0,11670.0,11692.0,11714.0,11738.0
100118,105.0,166.0,266.0,409.0,597.0,786.0,1069.0,1689.0,2311.0,2935.0,3559.0,4183.0,4810.0,5451.0,6095.0,6727.0,7318.0,7871.0,8388.0,8877.0,9342.0,9818.0,9870.0,9922.0,9976.0,10036.0,10097.0,10160.0
100119,100.0,162.0,257.0,390.0,579.0,760.0,1019.0,1611.0,2163.0,2675.0,3145.0,3574.0,3963.0,4317.0,4633.0,4900.0,5103.0,5256.0,5348.0,5379.0,5362.0,5328.0,5032.0,4736.0,4439.0,4143.0,3846.0,3549.0
100120,15.0,15.0,17.0,18.0,20.0,21.0,23.0,24.0,26.0,27.0,29.0,30.0,32.0,34.0,35.0,36.0,38.0,38.0,39.0,39.0,40.0,40.0,41.0,41.0,42.0,43.0,44.0,45.0
100122,144.0,223.0,372.0,545.0,754.0,957.0,1214.0,1705.0,2164.0,2589.0,2978.0,3333.0,3657.0,3964.0,4240.0,4470.0,4634.0,4727.0,4781.0,4791.0,4762.0,4718.0,4484.0,4246.0,4005.0,3761.0,3513.0,3262.0
100123,66.0,99.0,148.0,225.0,333.0,437.0,576.0,863.0,1130.0,1377.0,1604.0,1811.0,1998.0,2167.0,2318.0,2444.0,2538.0,2608.0,2644.0,2647.0,2628.0,2598.0,2453.0,2308.0,2163.0,2018.0,1874.0,1729.0
100124,29.0,46.0,78.0,135.0,227.0,324.0,449.0,693.0,937.0,1181.0,1425.0,1669.0,1913.0,2159.0,2409.0,2657.0,2893.0,3115.0,3316.0,3488.0,3647.0,3811.0,3827.0,3844.0,3860.0,3878.0,3896.0,3914.0
100125,86.0,150.0,262.0,406.0,589.0,764.0,990.0,1443.0,1865.0,2256.0,2613.0,2938.0,3234.0,3508.0,3756.0,3963.0,4115.0,4214.0,4267.0,4274.0,4246.0,4205.0,3982.0,3757.0,3530.0,3303.0,3074.0,2844.0
100126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
