BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,76.57,182.93,299.92,419.81,539.52,659.82,780.15,899.94,1034.43,1181.0,1328.81,1489.69,1649.09,1803.95,1954.16,2099.13,2238.16,2370.8,2504.84,2640.66,2777.6,2914.78,3053.06,3194.3,3338.44,3485.42,3635.14,3787.53
100003,177.73,433.29,714.16,1000.46,1284.52,1567.48,1847.89,2124.75,2442.56,2787.9,3135.8,3513.42,3887.83,4250.57,4600.33,4935.93,5256.73,5561.85,5869.12,6179.1,6490.5,6803.85,7118.2,7438.83,7765.59,8098.31,8436.79,8780.84
100004,322.71,664.39,1015.72,1365.74,1711.29,2057.5,2404.32,2751.81,3139.83,3562.73,3988.1,4450.9,4909.71,5353.47,5779.7,6186.63,6574.94,6943.99,7315.84,7690.85,8067.53,8447.44,8828.32,9217.0,9613.26,10016.85,10427.52,10844.99
100005,26.02,37.66,44.41,48.61,51.35,53.38,54.95,56.17,57.92,59.91,61.63,63.63,65.29,66.55,67.47,68.1,68.48,68.63,68.79,68.98,69.18,69.37,69.57,69.81,70.1,70.41,70.76,71.13
100006,116.11,290.92,486.91,689.52,892.95,1098.13,1304.0,1509.62,1739.64,1990.23,2243.17,2518.36,2791.41,3056.89,3314.32,3562.64,3800.87,4028.26,4257.94,4490.47,4724.83,4959.86,5196.58,5438.32,5684.95,5936.37,6192.44,6453.02
100007,590.49,1211.78,1849.24,2483.39,3109.1,3735.66,4363.07,4991.54,5693.71,6398.86,7104.83,7874.09,8633.4,9363.91,10061.87,10724.88,11354.92,11951.32,12552.18,13158.12,13766.59,14380.62,14995.94,15624.26,16265.15,16918.15,17582.79,18258.56
100008,263.81,717.09,1239.46,1786.99,2342.3,2906.11,3475.57,4049.17,4686.34,5233.1,5778.55,6373.65,6958.96,7519.75,8053.53,8558.77,9037.32,9488.92,9944.05,10403.1,10864.06,11329.24,11795.34,12271.55,12757.5,13252.81,13757.06,14269.86
100009,13.3,19.25,22.68,24.82,26.21,27.23,28.02,28.64,29.56,30.62,31.55,32.63,33.54,34.24,34.77,35.15,35.4,35.52,35.65,35.79,35.93,36.08,36.23,36.4,36.59,36.81,37.03,37.27
100139,12.05,17.31,20.24,21.98,23.04,23.76,24.26,24.6,25.29,26.11,26.81,27.64,28.31,28.82,29.18,29.41,29.53,29.56,29.6,29.65,29.7,29.75,29.81,29.88,29.97,30.08,30.2,30.34
100501,310.78,756.07,1251.15,1761.65,2274.27,2791.96,3312.38,3833.45,4417.71,5055.04,5699.73,6402.13,7100.57,7780.62,8440.73,9078.39,9691.1,10276.62,10868.01,11466.3,12069.11,12678.27,13290.9,13917.18,14556.88,15209.72,15875.36,16553.44
100503,226.75,486.57,760.39,1036.46,1310.9,1586.94,1864.26,2142.74,2452.88,2789.31,3128.07,3496.5,3862.17,4216.24,4556.56,4881.68,5192.18,5487.49,5784.99,6084.97,6386.24,6690.2,6994.88,7305.75,7622.63,7945.35,8273.69,8607.43
100504,481.81,1028.02,1601.54,2179.03,2752.77,3329.81,3909.47,4491.03,5144.31,5849.2,6561.15,7337.58,8109.41,8858.63,9582.05,10277.13,10943.25,11578.25,12218.78,12865.15,13515.09,14176.77,14839.94,15518.17,16211.14,16918.5,17639.85,18374.78
100505,191.0,415.14,651.83,889.93,1125.37,1360.96,1596.0,1829.62,2092.32,2378.98,2667.68,2982.22,3293.44,3595.37,3887.96,4170.13,4440.5,4698.23,4958.75,5222.85,5489.25,5756.07,6025.13,6300.07,6580.76,6867.04,7158.77,7455.77
100506,106.94,265.39,442.97,626.95,812.33,1000.01,1189.2,1379.26,1591.76,1823.4,2058.03,2313.52,2568.0,2815.91,3056.18,3287.9,3510.53,3723.26,3937.93,4154.72,4372.84,4594.1,4816.15,5043.08,5274.82,5511.25,5752.25,5997.69
100507,145.08,311.09,485.42,660.72,834.6,1009.02,1183.74,1358.69,1554.41,1767.24,1981.38,2214.16,2445.04,2668.41,2882.95,3087.76,3283.2,3468.94,3655.96,3844.46,4033.69,4224.56,4415.81,4610.9,4809.73,5012.18,5218.12,5427.41
200111,271.15,614.69,981.76,1351.3,1715.37,2076.68,2433.56,2785.08,3184.8,3618.83,4054.64,4527.24,4993.69,5443.94,5877.39,6293.17,6689.61,7065.78,7444.71,7827.3,8211.8,8595.23,8980.55,9373.09,9772.63,10178.94,10591.74,11010.76
200206,33.01,47.65,56.02,61.13,64.38,66.71,68.44,69.75,71.77,74.15,76.21,78.62,80.62,82.15,83.27,84.04,84.5,84.69,84.9,85.13,85.38,85.63,85.88,86.18,86.54,86.94,87.38,87.85
200208,46.16,134.6,237.82,346.09,455.46,565.91,676.65,787.13,910.67,1044.9,1180.63,1328.0,1474.35,1616.81,1754.9,1888.17,2016.05,2138.12,2261.26,2385.75,2511.04,2636.79,2763.25,2892.28,3023.82,3157.82,3294.19,3432.86
200401,325.03,754.92,1220.04,1691.22,2157.75,2621.93,3081.77,3535.73,4049.79,4605.41,5161.03,5761.78,6354.88,6925.42,7470.67,7989.19,8482.56,8950.51,9422.07,9897.57,10375.41,10847.08,11321.76,11804.41,12294.73,12792.41,13297.09,13808.39
200413,74.47,183.76,304.58,428.03,550.67,672.91,794.0,913.5,1049.16,1196.4,1344.46,1504.96,1663.63,1817.07,1965.02,2107.12,2242.78,2371.67,2501.48,2632.53,2764.24,2895.77,3027.93,3162.57,3299.63,3439.04,3580.7,3724.53
200421,35.61,51.26,60.06,65.33,68.61,70.87,72.48,73.62,75.64,78.05,80.1,82.52,84.51,85.98,87.02,87.7,88.05,88.12,88.2,88.32,88.45,88.59,88.72,88.92,89.17,89.47,89.8,90.16
200430,16.43,23.72,27.88,30.41,32.02,33.17,34.01,34.64,35.69,36.83,37.8,38.94,39.87,40.57,41.05,41.37,41.53,41.56,41.6,41.66,41.72,41.78,41.84,41.93,42.04,42.18,42.33,42.5
