BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,56.12,58.22,59.1,59.53,60.05,60.69,61.41,62.18,63.26,64.34,65.43,66.61,68.03,69.45,71.19,72.82,74.26,75.42,76.52,77.55,78.48,79.34,80.06,80.66,81.19,81.65,82.06,82.31
100003,64.74,67.08,68.14,68.99,70.27,71.42,72.74,74.2,76.15,77.99,79.89,81.94,84.33,86.69,89.02,91.17,93.05,94.45,95.75,96.95,98.05,99.15,99.99,100.69,101.31,101.88,102.33,102.53
100004,83.43,91.41,101.39,110.87,120.38,126.11,130.24,135.95,137.39,138.9,140.47,142.13,145.45,147.18,148.89,150.43,151.72,152.7,153.68,154.58,155.39,156.18,156.75,157.19,157.55,157.86,158.1,158.19
100005,101.26,103.51,104.84,106.28,107.67,109.2,113.38,115.09,117.13,119.73,121.77,123.91,126.26,128.62,131.59,133.3,134.79,135.92,137.02,138.17,139.27,140.32,141.15,141.84,142.43,142.93,143.37,143.52
100006,46.23,47.52,48.23,48.71,49.34,50.11,51.05,52.07,53.36,54.83,56.33,57.86,59.72,61.52,63.22,64.78,66.13,67.29,68.45,69.51,70.45,71.32,72.02,72.59,73.09,73.52,73.88,74.08
100007,97.81,113.05,120.65,126.13,131.92,138.0,143.55,147.88,151.59,155.54,159.29,163.09,166.77,170.41,174.84,178.17,181.23,183.97,186.64,189.22,191.67,194.09,196.26,198.27,199.39,199.9,200.34,200.61
100008,107.16,110.16,112.38,114.21,116.3,118.66,121.48,124.41,127.67,130.73,133.56,136.32,139.64,142.82,145.77,148.41,150.66,152.55,154.29,155.88,157.28,158.6,159.61,160.42,161.09,161.64,162.07,162.23
100009,36.57,36.8,36.97,44.64,52.33,52.51,53.91,54.23,54.66,55.13,55.65,56.19,59.77,62.79,63.58,64.35,65.09,66.75,67.29,67.73,68.07,68.34,68.51,68.66,68.77,68.85,68.89,68.87
100139,14.4,15.26,15.57,15.7,15.8,15.93,16.09,16.25,16.47,16.68,16.89,17.1,17.49,17.88,18.23,18.56,18.84,19.07,19.28,19.47,19.63,19.78,19.9,19.99,20.06,20.12,20.16,20.16
100501,71.93,79.99,92.2,103.24,106.58,108.66,110.92,113.33,119.4,126.68,137.26,140.22,143.46,146.81,166.18,169.09,171.49,173.56,175.6,177.5,179.29,180.97,182.44,183.6,184.67,185.67,186.59,187.35
100503,71.75,78.1,82.11,86.81,88.5,90.21,91.48,92.88,94.7,96.36,97.86,99.4,101.13,102.83,104.49,105.98,107.25,108.29,109.28,110.2,111.03,111.87,112.55,113.13,113.65,114.12,114.53,114.76
100504,116.24,129.97,143.43,156.26,163.81,171.49,179.5,186.79,194.77,200.0,205.31,210.73,215.4,219.99,224.46,228.16,231.16,233.6,235.95,238.14,240.15,242.18,243.88,245.41,246.84,248.18,249.42,250.45
100505,61.88,65.19,69.44,72.35,75.08,77.94,80.67,83.04,85.91,88.88,91.96,100.21,102.21,107.42,109.36,111.54,113.21,117.42,120.39,121.61,122.69,123.63,124.37,124.83,125.2,125.5,125.73,125.78
100506,62.99,64.75,66.05,67.03,68.07,69.23,70.57,71.92,73.82,75.77,77.75,79.58,81.7,83.77,85.73,87.6,89.25,90.6,91.84,92.96,93.95,94.87,95.57,96.15,96.64,97.05,97.38,97.54
