BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,17.04,17.33,17.75,18.12,18.58,19.27,20.17,21.03,21.7,22.33,22.91,23.5,24.23,24.95,25.61,26.22,26.76,27.23,27.66,28.05,28.4,28.71,28.97,29.19,29.35,29.46,29.54,29.6
100003,21.25,21.52,21.89,22.24,22.98,23.63,24.45,25.28,26.03,26.82,27.63,28.36,29.24,30.09,30.88,31.6,32.23,32.77,33.25,33.67,34.03,34.34,34.58,34.77,34.92,35.08,35.17,35.22
100004,31.71,32.03,32.57,32.97,33.33,33.81,34.41,36.65,37.25,37.81,38.37,38.94,41.1,41.7,42.26,42.76,43.17,43.51,43.85,44.14,44.37,44.57,44.72,44.79,44.83,44.85,44.83,44.79
100005,36.11,36.46,36.95,37.39,37.9,38.68,42.16,43.26,44.27,45.61,46.34,47.06,47.94,48.79,50.1,50.81,51.44,52.0,52.5,52.94,53.32,53.64,53.89,54.07,54.2,54.3,54.37,54.39
100006,13.97,14.24,14.55,14.87,15.29,15.91,16.72,17.63,18.44,19.12,19.76,20.37,21.09,21.79,22.44,23.03,23.56,24.02,24.42,24.79,25.1,25.37,25.59,25.76,25.9,26.01,26.11,26.17
100007,23.5,23.92,24.45,24.94,25.45,26.09,26.88,28.73,29.73,31.01,32.17,33.38,34.7,35.99,38.01,39.09,40.02,40.82,41.54,42.16,42.67,43.12,43.48,43.75,43.97,44.14,44.28,44.39
100008,25.19,25.94,26.71,27.56,28.64,30.11,31.25,32.5,33.46,34.41,35.37,36.32,37.49,38.63,39.66,40.56,41.26,41.89,42.45,42.96,43.41,43.81,44.13,44.37,44.57,44.73,44.86,44.94
100009,19.0,19.15,19.37,19.63,19.97,20.5,22.28,23.07,23.93,24.92,25.77,26.45,30.16,32.84,33.18,33.51,33.77,35.02,35.22,35.37,35.47,35.54,35.55,35.59,35.6,35.6,35.59,35.55
100139,1.23,1.3,1.39,1.47,1.54,1.65,1.77,1.9,2.02,2.14,2.26,2.38,2.52,2.67,2.79,2.91,3.02,3.11,3.2,3.27,3.34,3.4,3.45,3.49,3.53,3.56,3.58,3.6
100501,21.06,21.51,22.15,22.83,23.67,24.9,26.53,28.46,33.55,39.96,49.36,50.84,52.46,54.2,71.75,73.0,73.87,74.56,75.21,75.72,76.11,76.38,76.54,76.45,76.3,76.1,75.86,75.58
