BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,278912.54,288390.72,294236.75,298398.0,303204.64,310084.45,318506.65,327331.16,336459.53,345571.82,354560.9,363575.89,374763.93,385841.14,396030.68,405490.19,413864.81,421015.68,427563.08,433597.1,439036.69,443923.03,447986.13,451259.17,454060.89,456460.65,458494.57,459830.9
100003,344246.27,355758.0,362816.14,369163.84,378740.23,388185.45,399886.21,412609.38,426353.54,439707.76,453226.51,467018.23,483556.95,499853.06,514968.26,528869.38,541134.76,551142.03,559998.1,567972.31,574985.71,581324.18,586275.95,590209.49,593507.12,596614.45,598860.64,600089.71
100004,426943.66,466201.78,521862.19,567826.13,611746.06,639815.6,661499.46,697286.31,706787.98,716463.11,726168.34,736010.85,760460.98,771070.25,781093.38,790049.58,797588.57,803788.4,809687.28,814962.07,819511.66,823707.11,826749.94,828772.18,830308.02,831419.61,832090.46,832130.22
100005,479518.67,490346.86,499194.44,508173.84,517137.29,528542.64,563330.57,577478.81,591606.7,610628.15,624727.3,638855.54,655246.74,671537.98,691416.63,703369.37,713928.13,722832.39,731024.04,738462.1,745058.31,751029.28,755815.78,759593.88,762733.48,765323.05,767427.61,768399.01
100006,232223.33,238723.87,243892.65,248417.78,253918.76,261598.85,271312.17,281681.42,292231.87,303012.43,313540.45,323945.1,336591.77,348969.66,360284.45,370666.52,379805.35,387796.42,394995.98,401503.95,407274.12,412391.03,416572.51,419914.46,422726.63,425087.3,427056.02,428328.13
100007,345296.76,416715.37,451361.95,476384.27,502848.16,531085.94,558522.46,586536.31,608298.83,632442.96,655479.35,679016.81,702891.57,726396.19,755874.77,776607.41,795369.09,812184.09,828024.8,842720.56,856196.35,869037.99,880278.73,890286.84,896151.69,899148.43,901606.02,903272.52
100008,451258.53,465158.37,476234.49,486293.81,497978.17,512609.56,530593.85,549760.61,568403.75,586386.26,603437.69,619942.14,639999.3,659457.97,677216.85,693293.23,707253.6,719363.42,730362.34,740326.47,749158.12,757171.48,763489.34,768466.04,772564.36,775897.57,778518.28,779961.07
100009,230571.19,233022.19,234747.37,266289.81,298347.54,301404.06,315646.7,320847.14,327177.04,334233.77,341984.41,350230.17,385488.12,411648.25,417073.58,422403.85,427702.18,441192.84,445110.8,448260.04,450705.57,452557.9,453757.54,454879.16,455670.41,456214.05,456557.69,456479.83
100139,53870.89,58594.74,60730.71,61843.88,62921.62,64409.77,66145.43,67907.83,69916.3,71893.24,73793.25,75662.66,78064.37,80466.42,82590.08,84539.2,86270.0,87754.22,89053.53,90224.11,91273.42,92197.58,92935.96,93469.01,93894.12,94227.24,94476.53,94510.14
100501,403970.48,444324.52,487699.85,555136.76,574265.39,588547.11,605247.96,623536.4,672113.04,731616.05,820250.05,842701.13,867913.17,894012.31,1058198.6,1079525.62,1096591.96,1111297.52,1125211.06,1137563.78,1148425.34,1158053.92,1166142.7,1171563.1,1176175.46,1180137.39,1183537.12,1186137.69
100503,341884.44,369528.3,391494.96,425191.8,456014.86,465834.2,474243.48,483248.83,493557.57,503366.71,512383.0,521318.88,531673.87,541848.44,551302.78,559744.45,567085.77,573377.33,579172.36,584415.98,588997.43,593390.63,596957.88,599878.4,602397.93,604576.56,606421.47,607587.01
100504,651885.09,718124.33,776614.0,843498.82,878226.02,914624.59,954284.42,990910.54,1030862.94,1058948.47,1087144.33,1115479.05,1141652.42,1167206.42,1191356.44,1211543.51,1228124.89,1242175.91,1255161.19,1266847.46,1277384.21,1287320.56,1295565.45,1302679.72,1309048.54,1314790.95,1319937.98,1324175.82
100505,354127.2,369858.56,393172.47,407410.77,421430.61,437573.12,454617.07,470902.56,489910.88,510094.81,531240.9,596222.17,613566.27,657450.51,673541.21,691377.29,703724.58,737200.31,760326.17,768734.52,775893.31,781886.43,786662.48,789197.69,791080.22,792454.95,793393.03,793607.0
100506,283172.97,290921.88,297684.53,303468.28,309667.9,317635.78,327884.75,338169.56,349116.47,360340.08,371751.92,382196.37,394511.68,406540.0,417662.89,427816.75,436673.06,444218.43,451010.93,457066.64,462348.13,467129.48,470834.74,473779.47,476219.34,478231.07,479838.51,480765.47
100507,256662.02,280937.85,290968.9,296004.62,300191.72,304666.98,307801.26,311108.76,315877.75,320579.81,325005.06,329237.47,333841.06,338343.81,342534.89,346169.33,349288.46,351996.68,354539.0,356828.81,358771.79,360748.52,362412.17,363793.59,364990.65,366026.65,366899.27,367510.5
200111,499419.37,515123.55,526081.08,534830.88,546379.63,562215.8,581816.9,607818.62,629717.28,652425.9,675474.82,699102.84,727115.26,754627.13,780266.9,803829.04,824039.03,846161.85,861979.79,876338.46,887922.22,898247.46,906143.32,912395.38,917536.24,921737.02,925047.32,926809.82
200206,358399.74,372043.96,381986.18,389486.91,399667.85,413410.57,429024.35,445883.2,463533.42,481681.92,500289.84,519209.52,541589.19,563872.42,584498.61,603650.81,619360.25,632913.14,645015.54,655829.63,665356.36,673833.39,680654.68,686069.73,690656.41,694566.24,697316.61,698870.92
200208,135137.29,141280.79,144191.31,146795.93,149965.77,154565.2,160302.4,166393.36,172592.01,178862.59,185123.16,191445.4,202240.1,209838.38,216783.28,223179.29,228831.78,233737.46,238165.72,242180.57,245739.94,248960.78,251579.2,253748.62,255618.24,257230.17,258610.24,259610.67
200401,319194.3,327453.21,336887.96,345214.76,350427.76,356870.11,365373.04,375280.03,387386.21,400226.6,413624.78,427560.92,443544.27,459054.84,473165.27,485816.12,496740.45,505902.96,513664.74,520215.34,525720.15,530086.72,533185.27,535282.21,536762.07,537751.55,538331.81,538406.89
200413,291178.37,306611.19,316013.84,334167.82,356640.59,369264.29,384697.44,401876.8,421102.48,441488.65,462673.98,484519.13,509067.94,532078.88,551031.7,568228.06,583348.71,596199.91,607336.22,616935.17,625005.39,631851.1,637076.31,641024.9,644173.81,646680.02,648649.13,649777.03
