BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,0.07,0.64,1.2,1.82,2.47,3.14,3.83,4.54,5.3,6.04,6.84,7.58,8.42,9.25,10.17,11.14,12.14,13.17,14.2,15.24,16.28,17.3,18.3,19.28,20.24,21.18,22.09,22.79
100003,0.33,0.35,0.4,0.5,0.67,0.9,1.17,1.48,1.8,2.13,2.45,2.77,3.1,3.4,3.7,4.02,4.31,4.62,4.93,5.22,5.55,5.83,6.1,6.36,6.55,6.74,7.03,7.75
100004,0.16,0.92,4.98,9.11,13.29,24.39,33.17,39.79,46.45,53.09,54.01,54.85,55.8,56.74,57.77,58.84,59.94,61.08,62.22,63.36,64.5,65.62,66.71,67.79,68.83,69.85,70.84,71.58
100005,13.21,10.98,9.02,7.14,5.33,11.28,17.49,23.48,29.53,35.56,36.69,37.73,38.9,40.05,41.32,42.63,43.99,45.39,46.79,48.19,49.6,50.97,52.31,53.64,54.91,56.16,57.37,58.29
100006,0.11,0.54,0.99,1.48,2.0,2.55,3.12,3.71,4.34,4.95,5.6,6.2,6.88,7.55,8.29,9.06,9.86,10.68,11.5,12.32,13.14,13.94,14.73,15.51,16.25,16.99,17.69,18.23
100007,0.16,0.16,4.28,8.42,12.59,16.79,21.02,21.19,21.37,21.56,21.76,21.96,22.18,22.39,22.61,22.84,23.06,23.3,23.53,23.77,24.02,24.25,24.46,24.66,24.83,24.99,25.27,26.02
100008,11.09,8.92,7.29,5.77,4.34,10.51,16.96,22.96,29.02,35.06,36.33,37.52,38.83,40.12,41.52,42.98,44.47,46.01,47.54,49.08,50.63,52.13,53.59,55.03,56.38,57.71,58.98,59.95
100009,0.05,0.36,0.66,1.0,1.36,1.73,2.11,2.49,2.9,3.3,3.73,4.12,4.57,5.0,5.49,5.99,6.51,7.05,7.59,8.13,8.67,9.2,9.72,10.23,10.72,11.21,11.69,12.05
100139,1.99,1.6,1.2,0.83,0.46,1.47,2.53,3.6,4.67,5.74,5.94,6.12,6.32,6.52,6.74,6.97,7.2,7.45,7.69,7.93,8.18,8.41,8.65,8.88,9.1,9.32,9.53,9.69
100501,0.11,0.89,1.69,2.55,3.46,4.4,5.35,6.34,7.39,8.41,9.5,10.5,11.64,12.77,14.02,15.32,16.67,18.06,19.46,20.86,22.25,23.62,24.97,26.3,27.59,28.86,30.1,31.04
100503,0.13,0.14,0.15,0.2,0.26,0.36,0.47,0.61,0.76,0.93,1.1,1.27,1.46,1.65,1.84,2.04,2.23,2.44,2.65,3.03,4.09,5.14,6.16,7.16,8.13,9.08,10.0,10.7
100504,0.2,0.2,0.23,0.3,0.4,0.54,0.71,0.93,1.16,1.42,1.68,1.95,2.25,2.53,2.87,4.34,5.85,7.42,8.98,10.56,12.13,13.67,15.18,16.66,18.08,19.48,20.84,21.87
100505,7.22,5.76,4.31,2.89,1.51,5.16,8.97,12.81,16.68,20.54,21.21,21.84,22.55,23.25,24.03,24.85,25.7,26.57,27.45,28.33,29.21,30.08,30.93,31.76,32.58,33.38,34.16,34.75
100506,0.16,0.17,0.2,0.25,0.33,0.45,0.59,0.76,0.94,1.12,1.32,1.51,1.72,1.91,2.14,3.03,3.95,4.89,5.83,6.78,7.73,8.65,9.56,10.45,11.29,12.13,12.93,13.54
100507,9.11,7.26,25.43,23.63,21.87,26.48,31.28,36.11,40.97,45.82,46.64,47.39,48.24,49.09,50.03,51.01,52.03,53.09,54.14,55.2,56.26,57.3,58.32,59.33,60.32,61.29,62.25,62.97
200111,0.26,0.27,1.51,2.79,4.13,5.52,6.96,7.24,7.55,7.89,8.24,8.6,8.99,9.37,9.8,11.06,12.35,13.69,15.03,16.37,17.73,19.04,20.32,21.57,22.74,23.9,24.99,25.84
200206,20.14,20.15,22.27,24.42,26.59,28.79,31.02,31.18,31.35,31.53,31.73,31.92,32.14,32.35,32.58,33.32,34.08,34.86,35.65,36.44,37.23,38.0,38.75,39.48,40.18,40.86,41.51,42.01
200208,0.07,0.07,2.28,4.5,6.74,8.98,11.24,11.31,11.39,11.47,11.55,11.63,11.72,11.8,11.9,12.32,12.75,13.19,13.63,14.08,14.52,14.95,15.38,15.8,16.19,16.59,16.96,17.25
200401,50.1,50.38,50.69,51.04,54.43,57.86,61.32,64.81,68.33,68.85,71.52,74.16,76.86,79.53,82.26,82.87,83.49,84.14,84.78,85.42,86.07,86.7,87.3,87.9,88.45,88.99,89.5,89.89
200413,0.13,0.13,3.15,6.19,9.25,12.33,15.44,15.56,15.7,15.84,15.98,16.13,16.29,16.44,16.62,17.51,18.43,19.38,20.32,21.27,22.23,23.15,24.06,24.96,25.82,26.67,27.5,28.12
200421,0.18,0.69,1.22,1.81,7.97,14.16,20.38,26.64,32.93,33.71,38.45,43.14,47.92,52.68,57.53,58.48,59.46,60.47,61.49,62.5,63.52,64.51,65.48,66.43,67.33,68.23,69.08,69.73
200430,0.19,0.7,1.23,1.83,7.98,14.17,20.38,26.62,32.89,33.65,38.37,43.02,47.76,52.48,57.27,58.18,59.12,60.08,61.04,61.99,62.96,63.89,64.81,65.72,66.58,67.43,68.24,68.86
205308,0.2,0.21,1.24,2.3,3.4,4.54,5.7,5.89,6.1,6.31,6.52,6.73,6.96,7.61,8.34,9.1,9.88,10.68,11.48,12.28,13.09,13.87,14.63,15.38,16.08,16.78,17.43,17.93
205309,0.05,0.22,0.39,0.59,0.79,1.01,1.24,1.47,1.72,1.96,2.21,2.45,2.71,2.97,3.26,3.55,3.86,4.17,4.49,4.8,5.12,5.42,5.72,6.02,6.31,6.59,6.86,7.06
205317,0.31,6.33,12.38,18.47,24.63,30.85,31.12,31.43,31.75,32.09,32.43,32.77,33.12,33.46,33.83,35.01,36.22,37.47,38.71,39.96,41.22,42.43,43.62,44.78,45.87,46.94,47.96,48.74
300009,0.09,0.1,1.31,2.54,3.79,5.06,6.34,6.43,6.54,6.64,6.75,6.86,6.97,7.08,7.2,7.31,7.43,7.54,7.66,7.85,8.34,8.81,9.27,9.73,10.16,10.58,10.98,11.29
300024,0.16,0.16,7.39,14.63,21.91,29.23,36.57,36.74,36.93,37.13,37.35,37.57,37.8,38.04,38.28,38.53,38.78,39.05,39.31,39.75,40.91,42.03,43.13,44.21,45.25,46.26,47.24,47.99
300289,0.31,4.98,12.57,20.24,27.99,41.84,49.68,55.65,61.67,67.68,68.67,69.6,70.63,71.64,72.73,73.87,75.03,76.23,77.43,78.63,79.84,81.0,82.14,83.26,84.3,85.33,86.3,87.04
301101,20.27,20.29,20.33,20.41,20.55,20.74,20.97,21.24,21.52,21.82,22.11,22.4,22.71,23.0,23.3,23.61,23.9,24.21,24.52,24.96,25.98,26.96,27.91,28.84,29.71,30.57,31.38,32.0
301290,0.17,0.86,4.54,8.29,12.08,22.15,30.12,36.13,42.19,48.23,49.08,49.87,50.76,51.63,52.59,53.58,54.61,55.66,56.72,57.78,58.84,59.87,60.88,61.88,62.84,63.78,64.69,65.37
301672,0.06,0.06,0.07,6.09,12.12,18.17,24.22,30.29,30.36,30.44,30.52,30.61,30.7,30.79,30.88,30.98,31.07,31.17,31.27,31.37,31.47,31.57,31.66,31.75,31.82,31.88,32.02,32.42
303021,0.26,8.67,17.11,25.59,34.13,42.71,42.93,43.18,43.44,43.71,43.98,44.25,44.53,44.78,45.05,45.32,45.58,45.86,46.13,46.39,46.68,46.93,47.17,47.4,47.58,47.75,47.96,48.4
303188,0.24,0.89,5.91,11.0,16.15,27.28,36.43,42.22,48.06,53.87,54.75,55.57,56.48,57.37,58.34,59.35,60.38,61.45,62.51,63.58,64.65,65.69,66.7,67.71,68.65,69.58,70.47,71.15
