BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,3710.0,4946.0,6465.0,8198.0,10182.0,12997.0,16370.0,19947.0,23407.0,26808.0,30096.0,33262.0,36494.0,39617.0,42554.0,45293.0,47781.0,50049.0,51971.0,53544.0,54861.0,55936.0,56703.0,57196.0,57525.0,57760.0,57962.0,58149.0
100003,3044.0,4165.0,5566.0,7226.0,9192.0,11984.0,15334.0,18904.0,22373.0,25791.0,29105.0,32301.0,35681.0,38962.0,42015.0,44755.0,47257.0,49551.0,51512.0,53209.0,54665.0,55923.0,56962.0,57728.0,58351.0,58850.0,59241.0,59537.0
100004,1714.0,2350.0,3148.0,4090.0,5199.0,6776.0,8667.0,10675.0,12621.0,14534.0,16385.0,18166.0,20036.0,21846.0,23553.0,25147.0,26596.0,27921.0,29051.0,29984.0,30766.0,31401.0,31877.0,32208.0,32472.0,32673.0,32835.0,32971.0
100005,4958.0,6677.0,8739.0,11036.0,13598.0,17233.0,21593.0,26239.0,30751.0,35200.0,39514.0,43675.0,48013.0,52222.0,56140.0,59650.0,62850.0,65748.0,68180.0,70293.0,72113.0,73653.0,74734.0,75392.0,75801.0,76154.0,76474.0,76764.0
100006,2529.0,3426.0,4557.0,5902.0,7499.0,9769.0,12488.0,15373.0,18166.0,20912.0,23568.0,26125.0,28781.0,31351.0,33772.0,36033.0,38091.0,39966.0,41556.0,42933.0,44117.0,45109.0,45867.0,46404.0,46761.0,47019.0,47207.0,47363.0
100007,1628.0,2242.0,2971.0,3779.0,4669.0,5929.0,7440.0,9049.0,10611.0,12150.0,13642.0,15081.0,16609.0,18094.0,19492.0,20783.0,21919.0,22956.0,23842.0,24547.0,25065.0,25454.0,25768.0,25996.0,26182.0,26334.0,26460.0,26564.0
100008,4205.0,5704.0,7590.0,9835.0,12506.0,16294.0,20828.0,25638.0,30294.0,34873.0,39303.0,43569.0,48011.0,52312.0,56354.0,60103.0,63517.0,66638.0,69295.0,71596.0,73542.0,75189.0,76523.0,77421.0,78082.0,78563.0,78886.0,79140.0
100009,832.0,1141.0,1539.0,2026.0,2622.0,3470.0,4490.0,5579.0,6639.0,7684.0,8697.0,9675.0,10712.0,11719.0,12670.0,13561.0,14375.0,15120.0,15760.0,16317.0,16800.0,17217.0,17555.0,17780.0,17947.0,18068.0,18174.0,18267.0
100139,860.0,1161.0,1507.0,1871.0,2251.0,2787.0,3430.0,4115.0,4779.0,5434.0,6070.0,6684.0,7323.0,7945.0,8506.0,8961.0,9375.0,9740.0,10032.0,10286.0,10506.0,10697.0,10854.0,10964.0,11052.0,11126.0,11187.0,11231.0
100501,1849.0,2516.0,3384.0,4455.0,5773.0,7652.0,9908.0,12312.0,14647.0,16947.0,19175.0,21321.0,23578.0,25766.0,27830.0,29760.0,31520.0,33131.0,34509.0,35707.0,36741.0,37614.0,38344.0,38897.0,39336.0,39640.0,39874.0,40067.0
