BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,327.0,502.0,813.0,1162.0,1552.0,1877.0,2131.0,2411.0,2704.0,3009.0,3325.0,3670.0,4075.0,4521.0,4968.0,5405.0,5788.0,6030.0,6272.0,6513.0,6746.0,7002.0,7203.0,7397.0,7583.0,7760.0,7928.0,8024.0
100003,353.0,547.0,912.0,1310.0,1740.0,2099.0,2392.0,2736.0,3112.0,3511.0,3932.0,4400.0,4969.0,5582.0,6189.0,6765.0,7268.0,7604.0,7935.0,8249.0,8541.0,8866.0,9064.0,9245.0,9409.0,9555.0,9672.0,9664.0
100004,489.0,662.0,1024.0,1411.0,1818.0,2144.0,2408.0,2727.0,3068.0,3432.0,3807.0,4206.0,4641.0,5105.0,5550.0,5959.0,6298.0,6498.0,6686.0,6859.0,7015.0,7196.0,7248.0,7285.0,7304.0,7308.0,7285.0,7208.0
100005,473.0,711.0,1162.0,1661.0,2214.0,2696.0,3094.0,3537.0,4009.0,4505.0,5021.0,5590.0,6278.0,7035.0,7799.0,8545.0,9212.0,9663.0,10124.0,10579.0,11024.0,11515.0,11894.0,12264.0,12622.0,12968.0,13302.0,13494.0
100006,423.0,614.0,891.0,1192.0,1522.0,1762.0,1891.0,2040.0,2202.0,2379.0,2569.0,2790.0,3075.0,3373.0,3660.0,3930.0,4153.0,4308.0,4459.0,4604.0,4743.0,4907.0,5006.0,5094.0,5172.0,5238.0,5292.0,5272.0
100007,733.0,869.0,1201.0,1548.0,1905.0,2206.0,2464.0,2786.0,3133.0,3508.0,3895.0,4303.0,4743.0,5216.0,5670.0,6088.0,6441.0,6660.0,6868.0,7063.0,7240.0,7445.0,7503.0,7546.0,7574.0,7588.0,7579.0,7520.0
100008,984.0,1441.0,2124.0,2862.0,3659.0,4150.0,4369.0,4632.0,4919.0,5258.0,5619.0,6032.0,6546.0,7081.0,7588.0,8049.0,8409.0,8646.0,8867.0,9070.0,9268.0,9522.0,9631.0,9719.0,9784.0,9827.0,9838.0,9727.0
100009,88.0,125.0,188.0,259.0,338.0,402.0,450.0,505.0,566.0,631.0,702.0,788.0,911.0,1040.0,1171.0,1300.0,1418.0,1510.0,1602.0,1694.0,1785.0,1883.0,1961.0,2036.0,2110.0,2180.0,2247.0,2268.0
100139,63.0,96.0,157.0,223.0,296.0,360.0,411.0,466.0,524.0,584.0,646.0,716.0,807.0,906.0,1006.0,1104.0,1192.0,1251.0,1312.0,1372.0,1430.0,1494.0,1550.0,1606.0,1660.0,1712.0,1764.0,1792.0
100501,298.0,459.0,757.0,1077.0,1421.0,1699.0,1911.0,2144.0,2388.0,2646.0,2914.0,3206.0,3543.0,3904.0,4258.0,4589.0,4866.0,5023.0,5174.0,5315.0,5443.0,5590.0,5668.0,5733.0,5786.0,5825.0,5846.0,5810.0
100503,735.0,856.0,1130.0,1418.0,1717.0,1966.0,2162.0,2386.0,2622.0,2870.0,3121.0,3393.0,3711.0,4061.0,4397.0,4708.0,4970.0,5133.0,5291.0,5441.0,5582.0,5745.0,5837.0,5921.0,5996.0,6063.0,6118.0,6111.0
100504,1491.0,1739.0,2370.0,3029.0,3710.0,4314.0,4845.0,5426.0,6029.0,6651.0,7279.0,7930.0,8603.0,9358.0,10082.0,10758.0,11314.0,11610.0,11895.0,12161.0,12401.0,12681.0,12810.0,12921.0,13013.0,13086.0,13135.0,13134.0
100505,240.0,357.0,560.0,787.0,1039.0,1246.0,1403.0,1576.0,1760.0,1955.0,2159.0,2388.0,2664.0,2964.0,3260.0,3547.0,3798.0,3964.0,4129.0,4292.0,4449.0,4621.0,4750.0,4872.0,4988.0,5095.0,5192.0,5229.0
100506,452.0,667.0,1009.0,1379.0,1777.0,2072.0,2260.0,2484.0,2727.0,2989.0,3266.0,3576.0,3945.0,4337.0,4717.0,5071.0,5366.0,5560.0,5745.0,5919.0,6082.0,6277.0,6370.0,6451.0,6518.0,6571.0,6603.0,6558.0
100507,526.0,572.0,681.0,795.0,910.0,1005.0,1071.0,1140.0,1212.0,1286.0,1359.0,1433.0,1509.0,1599.0,1682.0,1756.0,1812.0,1836.0,1859.0,1881.0,1901.0,1930.0,1944.0,1958.0,1969.0,1979.0,1986.0,1987.0
200111,592.0,853.0,1324.0,1841.0,2418.0,2874.0,3234.0,3699.0,4210.0,4786.0,5394.0,6085.0,6909.0,7782.0,8656.0,9480.0,10224.0,10771.0,11311.0,11834.0,12325.0,12875.0,13179.0,13459.0,13711.0,13935.0,14115.0,14125.0
200206,289.0,452.0,764.0,1119.0,1520.0,1872.0,2186.0,2549.0,2944.0,3365.0,3817.0,4320.0,4922.0,5592.0,6275.0,6950.0,7570.0,8010.0,8455.0,8892.0,9316.0,9779.0,10136.0,10484.0,10823.0,11153.0,11464.0,11652.0
200208,142.0,215.0,345.0,488.0,646.0,775.0,882.0,1015.0,1160.0,1316.0,1480.0,1662.0,1880.0,2112.0,2340.0,2555.0,2744.0,2871.0,2993.0,3107.0,3211.0,3326.0,3382.0,3430.0,3471.0,3503.0,3525.0,3504.0
200401,232.0,353.0,583.0,815.0,1050.0,1220.0,1347.0,1531.0,1722.0,1917.0,2111.0,2329.0,2614.0,2900.0,3175.0,3428.0,3645.0,3800.0,3942.0,4073.0,4208.0,4360.0,4392.0,4416.0,4432.0,4440.0,4440.0,4359.0
200413,213.0,337.0,586.0,860.0,1163.0,1427.0,1665.0,1969.0,2293.0,2645.0,3003.0,3395.0,3854.0,4350.0,4859.0,5343.0,5787.0,6096.0,6404.0,6704.0,6987.0,7301.0,7486.0,7662.0,7829.0,7988.0,8134.0,8199.0
200421,269.0,399.0,663.0,953.0,1271.0,1545.0,1783.0,2059.0,2355.0,2673.0,3007.0,3381.0,3822.0,4304.0,4797.0,5278.0,5716.0,6026.0,6339.0,6647.0,6941.0,7267.0,7496.0,7717.0,7928.0,8131.0,8316.0,8413.0
200430,170.0,256.0,426.0,613.0,823.0,997.0,1160.0,1409.0,1687.0,1987.0,2302.0,2658.0,3107.0,3579.0,4058.0,4528.0,4971.0,5331.0,5692.0,6046.0,6395.0,6777.0,6986.0,7188.0,7383.0,7572.0,7751.0,7810.0
205308,229.0,390.0,765.0,1180.0,1635.0,2056.0,2474.0,2997.0,3558.0,4148.0,4749.0,5401.0,6141.0,6955.0,7796.0,8617.0,9380.0,9910.0,10448.0,10974.0,11482.0,12038.0,12384.0,12723.0,13054.0,13378.0,13691.0,13889.0
205309,31.0,45.0,70.0,99.0,132.0,159.0,183.0,221.0,266.0,317.0,372.0,434.0,505.0,581.0,657.0,732.0,803.0,862.0,921.0,979.0,1036.0,1100.0,1131.0,1161.0,1190.0,1217.0,1244.0,1257.0
205317,411.0,649.0,1157.0,1712.0,2316.0,2843.0,3322.0,3887.0,4488.0,5117.0,5763.0,6469.0,7290.0,8186.0,9102.0,9988.0,10789.0,11327.0,11867.0,12390.0,12887.0,13436.0,13789.0,14127.0,14450.0,14760.0,15044.0,15181.0
300009,167.0,255.0,420.0,608.0,821.0,1010.0,1170.0,1352.0,1546.0,1752.0,1969.0,2212.0,2508.0,2826.0,3147.0,3458.0,3734.0,3920.0,4101.0,4275.0,4439.0,4618.0,4750.0,4875.0,4991.0,5100.0,5196.0,5230.0
300024,303.0,462.0,785.0,1153.0,1568.0,1939.0,2271.0,2663.0,3084.0,3533.0,4006.0,4524.0,5120.0,5749.0,6373.0,6965.0,7481.0,7810.0,8119.0,8408.0,8668.0,8951.0,9104.0,9235.0,9344.0,9429.0,9481.0,9436.0
300289,572.0,839.0,1282.0,1779.0,2338.0,2781.0,3105.0,3468.0,3861.0,4286.0,4735.0,5247.0,5885.0,6570.0,7247.0,7900.0,8475.0,8878.0,9280.0,9677.0,10051.0,10470.0,10784.0,11083.0,11363.0,11623.0,11859.0,11946.0
301101,455.0,695.0,1154.0,1669.0,2245.0,2751.0,3181.0,3673.0,4200.0,4761.0,5349.0,6007.0,6812.0,7676.0,8550.0,9387.0,10130.0,10627.0,11111.0,11579.0,12019.0,12502.0,12844.0,13164.0,13463.0,13739.0,13985.0,14055.0
301290,259.0,382.0,584.0,808.0,1058.0,1254.0,1393.0,1555.0,1729.0,1917.0,2114.0,2338.0,2620.0,2919.0,3212.0,3490.0,3732.0,3896.0,4057.0,4212.0,4356.0,4516.0,4623.0,4720.0,4809.0,4887.0,4953.0,4950.0
301672,62.0,115.0,236.0,378.0,542.0,683.0,838.0,1098.0,1389.0,1699.0,2016.0,2356.0,2747.0,3159.0,3579.0,3989.0,4375.0,4683.0,4987.0,5279.0,5575.0,5907.0,6047.0,6182.0,6315.0,6444.0,6570.0,6631.0
303021,292.0,475.0,860.0,1299.0,1792.0,2236.0,2648.0,3112.0,3618.0,4150.0,4704.0,5309.0,6004.0,6784.0,7583.0,8366.0,9077.0,9555.0,10042.0,10516.0,10969.0,11468.0,11855.0,12232.0,12600.0,12958.0,13295.0,13522.0
303188,297.0,455.0,742.0,1066.0,1432.0,1751.0,2015.0,2293.0,2584.0,2887.0,3196.0,3555.0,4046.0,4585.0,5137.0,5680.0,6176.0,6521.0,6874.0,7228.0,7569.0,7936.0,8279.0,8619.0,8956.0,9289.0,9616.0,9784.0
303846,105.0,170.0,279.0,401.0,536.0,636.0,708.0,788.0,875.0,964.0,1054.0,1154.0,1277.0,1407.0,1536.0,1655.0,1757.0,1821.0,1882.0,1938.0,1991.0,2054.0,2090.0,2123.0,2152.0,2177.0,2198.0,2190.0
304200,403.0,616.0,996.0,1425.0,1906.0,2295.0,2610.0,2992.0,3420.0,3881.0,4377.0,4934.0,5603.0,6324.0,7044.0,7739.0,8358.0,8802.0,9242.0,9666.0,10068.0,10514.0,10802.0,11072.0,11322.0,11552.0,11748.0,11806.0
304881,252.0,416.0,788.0,1219.0,1710.0,2186.0,2647.0,3163.0,3715.0,4294.0,4896.0,5544.0,6285.0,7111.0,7972.0,8814.0,9577.0,10069.0,10563.0,11050.0,11516.0,12021.0,12434.0,12839.0,13235.0,13622.0,13990.0,14254.0
304882,141.0,214.0,345.0,496.0,670.0,817.0,940.0,1091.0,1259.0,1444.0,1645.0,1874.0,2151.0,2449.0,2752.0,3048.0,3319.0,3521.0,3722.0,3921.0,4114.0,4327.0,4479.0,4624.0,4762.0,4892.0,5007.0,5061.0
304899,147.0,236.0,415.0,622.0,859.0,1074.0,1269.0,1492.0,1733.0,1989.0,2259.0,2557.0,2912.0,3302.0,3704.0,4097.0,4454.0,4699.0,4944.0,5186.0,5419.0,5674.0,5877.0,6074.0,6266.0,6450.0,6624.0,6729.0
400001,140.0,222.0,383.0,558.0,753.0,912.0,1055.0,1267.0,1501.0,1761.0,2035.0,2339.0,2711.0,3097.0,3491.0,3875.0,4227.0,4513.0,4795.0,5075.0,5350.0,5654.0,5811.0,5961.0,6102.0,6236.0,6355.0,6389.0
400016,238.0,384.0,687.0,1010.0,1363.0,1646.0,1893.0,2209.0,2542.0,2906.0,3279.0,3682.0,4163.0,4664.0,5167.0,5647.0,6064.0,6362.0,6651.0,6932.0,7201.0,7500.0,7646.0,7779.0,7898.0,8004.0,8084.0,8072.0
400071,151.0,288.0,610.0,972.0,1373.0,1728.0,2084.0,2547.0,3039.0,3548.0,4064.0,4608.0,5232.0,5902.0,6586.0,7252.0,7864.0,8285.0,8692.0,9084.0,9486.0,9936.0,10179.0,10416.0,10647.0,10874.0,11089.0,11208.0
400094,161.0,271.0,496.0,759.0,1063.0,1337.0,1589.0,1884.0,2197.0,2528.0,2874.0,3248.0,3692.0,4173.0,4664.0,5148.0,5582.0,5872.0,6162.0,6443.0,6720.0,7015.0,7237.0,7451.0,7656.0,7853.0,8032.0,8127.0
400102,469.0,689.0,1042.0,1431.0,1861.0,2205.0,2438.0,2685.0,2940.0,3209.0,3493.0,3841.0,4356.0,4906.0,5465.0,6010.0,6499.0,6866.0,7228.0,7588.0,7941.0,8334.0,8684.0,9030.0,9369.0,9702.0,10027.0,10145.0
400107,355.0,533.0,816.0,1137.0,1497.0,1771.0,1953.0,2140.0,2329.0,2523.0,2719.0,2932.0,3188.0,3471.0,3755.0,4026.0,4252.0,4392.0,4532.0,4670.0,4807.0,4971.0,5117.0,5260.0,5400.0,5537.0,5669.0,5749.0
400113,443.0,669.0,1019.0,1410.0,1849.0,2152.0,2339.0,2540.0,2754.0,2990.0,3244.0,3552.0,3987.0,4457.0,4939.0,5414.0,5838.0,6157.0,6474.0,6788.0,7096.0,7444.0,7747.0,8044.0,8335.0,8618.0,8888.0,9005.0
400119,107.0,200.0,424.0,680.0,968.0,1241.0,1528.0,1912.0,2318.0,2743.0,3176.0,3627.0,4126.0,4667.0,5225.0,5769.0,6267.0,6614.0,6956.0,7292.0,7622.0,7986.0,8177.0,8364.0,8548.0,8728.0,8904.0,9025.0
400128,187.0,338.0,682.0,1074.0,1514.0,1905.0,2306.0,2881.0,3500.0,4150.0,4821.0,5528.0,6336.0,7194.0,8070.0,8924.0,9708.0,10286.0,10845.0,11387.0,11929.0,12539.0,12836.0,13125.0,13408.0,13686.0,13954.0,14111.0
400217,342.0,619.0,1265.0,1987.0,2785.0,3499.0,4242.0,5320.0,6491.0,7718.0,8967.0,10292.0,11800.0,13414.0,15058.0,16660.0,18150.0,19256.0,20355.0,21420.0,22491.0,23674.0,24233.0,24775.0,25305.0,25825.0,26327.0,26610.0
400400,236.0,368.0,637.0,935.0,1262.0,1526.0,1765.0,2088.0,2444.0,2819.0,3205.0,3626.0,4133.0,4670.0,5208.0,5725.0,6190.0,6536.0,6873.0,7198.0,7528.0,7901.0,8097.0,8285.0,8465.0,8636.0,8793.0,8845.0
