BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,63.0,101.0,120.0,140.0,161.0,182.0,204.0,234.0,268.0,303.0,339.0,380.0,422.0,464.0,512.0,556.0,597.0,626.0,651.0,678.0,711.0,741.0,765.0,779.0,791.0,804.0,814.0,810.0
100003,55.0,87.0,103.0,119.0,137.0,153.0,171.0,195.0,222.0,250.0,279.0,310.0,342.0,375.0,411.0,444.0,474.0,493.0,510.0,528.0,549.0,569.0,584.0,591.0,596.0,602.0,605.0,598.0
100004,53.0,85.0,100.0,117.0,134.0,149.0,166.0,190.0,216.0,242.0,269.0,299.0,329.0,360.0,393.0,423.0,449.0,466.0,479.0,493.0,511.0,527.0,537.0,541.0,543.0,544.0,544.0,535.0
100005,65.0,105.0,126.0,149.0,173.0,196.0,221.0,256.0,294.0,335.0,378.0,426.0,475.0,527.0,583.0,638.0,689.0,726.0,758.0,795.0,837.0,877.0,911.0,933.0,953.0,973.0,991.0,992.0
100006,43.0,69.0,82.0,95.0,109.0,122.0,137.0,156.0,178.0,200.0,223.0,248.0,273.0,299.0,328.0,354.0,378.0,393.0,406.0,420.0,437.0,452.0,463.0,468.0,472.0,476.0,478.0,472.0
100007,73.0,117.0,139.0,161.0,185.0,207.0,231.0,264.0,300.0,338.0,377.0,420.0,463.0,508.0,556.0,600.0,639.0,665.0,686.0,709.0,737.0,763.0,781.0,788.0,795.0,800.0,803.0,792.0
100008,107.0,171.0,201.0,233.0,266.0,297.0,330.0,375.0,424.0,477.0,531.0,591.0,651.0,712.0,778.0,839.0,892.0,926.0,954.0,984.0,1021.0,1054.0,1077.0,1086.0,1092.0,1097.0,1098.0,1081.0
100009,17.0,28.0,33.0,39.0,45.0,51.0,58.0,67.0,78.0,89.0,100.0,113.0,126.0,140.0,156.0,170.0,184.0,194.0,203.0,213.0,225.0,236.0,245.0,251.0,257.0,263.0,268.0,269.0
100139,9.0,14.0,17.0,20.0,23.0,26.0,29.0,34.0,39.0,44.0,50.0,56.0,62.0,69.0,76.0,84.0,90.0,95.0,99.0,104.0,109.0,114.0,119.0,121.0,124.0,126.0,129.0,129.0
100501,54.0,87.0,103.0,120.0,137.0,153.0,171.0,196.0,222.0,250.0,278.0,309.0,341.0,373.0,407.0,439.0,468.0,486.0,501.0,517.0,537.0,555.0,567.0,572.0,575.0,578.0,579.0,570.0
100503,68.0,108.0,129.0,150.0,173.0,194.0,218.0,250.0,285.0,322.0,361.0,403.0,446.0,490.0,539.0,584.0,624.0,652.0,675.0,701.0,731.0,759.0,780.0,792.0,801.0,810.0,817.0,810.0
100504,100.0,160.0,190.0,222.0,256.0,287.0,322.0,369.0,421.0,475.0,531.0,594.0,657.0,721.0,792.0,858.0,917.0,956.0,989.0,1026.0,1069.0,1109.0,1139.0,1153.0,1166.0,1177.0,1185.0,1173.0
100505,42.0,67.0,79.0,93.0,107.0,120.0,134.0,154.0,176.0,199.0,222.0,248.0,275.0,303.0,333.0,361.0,387.0,405.0,421.0,437.0,458.0,476.0,491.0,499.0,506.0,513.0,519.0,515.0
