Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,70964.91,73963.38,78449.97,84152.07,93386.69,103536.44,113986.09,123966.47,133098.66,142375.26,151362.02,160414.36,171243.67,182026.86,191766.33,200913.07,209637.44,217634.88,225092.27,232109.4,239113.83,245954.87,251698.97,256946.57,261898.16,266539.08,270920.56,273628.09
BARROWINFURNESS,10438.54,11836.39,14316.5,17051.15,20428.05,24501.22,29000.24,32913.11,36650.46,40425.36,44117.47,47803.13,52348.42,56850.72,60698.72,64205.66,67494.76,70510.82,73206.45,75681.35,78021.49,80191.39,81824.57,83182.45,84399.03,85480.75,86430.28,86916.87
BLACKBURN WITH DARWEN,10523.52,13741.98,17803.31,22287.55,27413.35,34184.06,41979.78,49924.99,57410.54,65032.23,72441.79,79919.34,88953.83,97746.38,105194.87,111882.17,117900.34,123228.87,127967.71,132281.21,136254.36,139816.0,142601.03,144857.82,146782.63,148351.3,149686.41,150471.22
BLACKPOOL,8707.42,11681.32,15225.65,19240.23,23922.18,29989.29,36874.25,43816.72,50392.19,57011.84,63482.09,69992.24,78227.58,86417.84,93371.92,99682.34,105549.86,110749.21,115326.74,119538.79,123511.27,127040.66,129957.76,132322.3,134368.24,136200.39,137862.66,138703.04
BOLTON,21532.63,27822.93,36081.16,45284.74,55912.37,69927.94,86001.09,102231.08,117526.92,133177.46,148457.32,163966.35,182544.37,200763.24,216088.96,229786.52,242163.15,252981.39,262597.2,271210.09,279094.28,286353.93,292222.71,297023.74,301132.37,304703.95,307877.16,309993.83
BURNLEY,22258.2,24033.46,26318.49,28936.84,32106.25,36244.36,40957.26,45766.26,50388.92,55047.5,59626.74,64195.15,69750.17,75275.89,80020.79,84350.77,88384.78,91920.12,95092.92,98000.58,100762.58,103316.53,105315.46,106926.52,108321.81,109554.46,110604.68,111203.07
BURY,13289.14,17448.48,22773.51,28645.16,35335.31,44319.76,54664.68,65075.38,74845.31,84748.95,94427.96,104174.68,116059.68,127808.66,137468.63,145843.06,153581.74,160422.63,166491.12,172034.1,177214.25,181918.99,185722.21,188889.39,191584.41,193963.08,196087.27,197458.15
CARLISLE,40563.57,43441.5,47248.41,51596.54,57524.71,64791.24,72720.41,80622.95,88202.3,95763.29,103176.64,110619.64,119886.78,129092.13,137074.46,144385.5,151242.04,157375.48,162928.95,168027.7,172899.24,177412.12,181186.4,184496.43,187526.11,190284.84,192792.59,194140.79
CHESHIRE EAST,13203.91,16912.29,21916.33,27500.11,33998.58,42835.96,52953.53,63007.92,72472.66,81841.11,91048.57,100173.24,111485.05,122742.97,132110.54,140554.96,148377.28,155280.74,161364.64,166863.32,171984.02,176582.39,180179.82,182943.21,185264.29,187289.78,189181.89,190362.77
CHORLEY,10052.66,12699.59,16441.22,20713.52,25807.89,32504.65,40177.07,47972.47,55435.82,62936.27,70233.81,77516.08,86379.58,95190.38,102728.56,109564.32,115907.33,121398.58,126305.23,130771.82,134982.52,138901.1,142028.17,144657.95,146783.94,148592.01,150206.93,151269.65
