Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,100326.32,99789.45,97691.02,95336.38,93505.64,92005.75,90995.97,90179.15,89452.33,88627.1,87991.69,87429.41,86919.55,86336.62,86113.79,85900.38,85649.49,85345.52,85267.21,85276.51,85220.77,85215.69,85226.83,85288.2,85337.14,85380.64,85418.46,85446.02
BARROWINFURNESS,75405.36,74646.13,72632.53,70497.61,68754.59,67241.51,66201.91,65286.56,64470.73,63646.44,62908.21,62289.35,61694.61,61041.1,60709.68,60369.6,60018.34,59651.46,59450.93,59312.37,59134.34,58988.28,58854.98,58759.65,58655.78,58548.56,58437.77,58320.07
BLACKBURN WITH DARWEN,199819.25,198680.95,194441.09,189643.88,185965.9,182868.13,180914.89,179419.01,178025.21,176589.6,175362.02,174285.62,173377.31,172212.03,171887.22,171600.52,171143.61,170679.81,170655.48,170820.08,170924.76,171066.1,171242.63,171526.5,171785.57,172034.6,172273.09,172491.36
BLACKPOOL,224182.25,222521.57,217630.36,212290.57,208102.29,204626.8,202393.32,200626.96,199038.68,197398.71,196091.56,194992.47,194048.83,192885.3,192635.52,192460.29,192101.23,191658.86,191668.01,191859.85,191970.57,192147.44,192358.08,192677.04,192967.24,193243.84,193506.26,193744.38
BOLTON,432321.66,430628.92,422194.63,412776.16,405639.12,399768.41,396203.53,393564.46,391247.96,388885.82,386977.09,385529.14,384311.54,382705.47,382926.57,383081.49,382995.36,382734.86,383472.63,384582.0,385454.28,386493.92,387603.53,388937.19,390212.52,391460.86,392681.29,393852.8
BURNLEY,144484.34,143959.76,141124.23,137977.83,135529.48,133556.16,132333.38,131447.62,130663.78,129751.56,129091.61,128492.87,127959.94,127311.08,127210.44,127145.66,126975.18,126757.3,126880.41,127101.12,127279.67,127508.48,127762.69,128096.07,128410.32,128716.38,129013.89,129295.59
BURY,289202.25,288396.95,283071.78,277104.3,272540.29,268868.25,266801.38,265298.7,264048.98,262624.64,261635.33,260898.5,260297.31,259483.03,259792.65,260165.84,260328.32,260352.28,261037.49,261940.43,262730.29,263617.9,264551.62,265635.06,266678.51,267703.0,268707.89,269679.0
CARLISLE,192043.54,191016.28,187008.33,182636.7,179181.4,176384.45,174568.18,173081.7,171737.14,170302.57,169099.34,168048.81,167035.61,165869.23,165410.49,164960.46,164417.93,163724.48,163490.53,163368.31,163173.8,163064.45,162986.6,163004.46,162999.81,162985.83,162962.15,162920.17
CHESHIRE EAST,229418.74,229261.02,225642.71,221391.12,218295.37,215812.55,214471.76,213561.63,212856.78,211955.4,211332.05,210861.05,210500.33,209945.84,210251.58,210634.68,210827.58,210886.4,211520.95,212342.98,213074.32,213859.82,214682.27,215624.52,216535.04,217430.65,218310.97,219164.66
CHORLEY,156198.6,156583.14,154405.26,151783.5,149918.13,148426.88,147787.6,147408.29,147142.78,146752.13,146516.28,146449.68,146433.44,146227.67,146662.26,147087.77,147417.81,147663.92,148299.35,149042.28,149713.45,150460.36,151235.85,152100.85,152944.61,153779.55,154605.42,155413.98
COPELAND,73808.13,73008.89,71049.44,69009.61,67348.8,65942.34,64896.7,64009.11,63248.77,62431.15,61735.56,61066.04,60469.63,59847.9,59496.06,59138.63,58752.54,58351.87,58117.11,57946.71,57732.66,57545.53,57370.4,57230.51,57082.84,56932.2,56778.41,56618.4
CRAVEN,28917.81,28917.33,28454.29,27927.0,27529.2,27217.02,27041.99,26927.99,26834.42,26707.03,26608.88,26530.54,26466.3,26365.8,26364.25,26369.43,26357.61,26344.74,26388.16,26455.13,26502.05,26566.08,26634.55,26717.77,26796.75,26873.59,26948.23,27019.25
DERBYSHIRE DALES,23.81,23.71,23.22,22.67,22.25,21.89,21.67,21.5,21.34,21.17,21.03,20.91,20.81,20.67,20.64,20.6,20.56,20.5,20.5,20.52,20.54,20.56,20.58,20.62,20.65,20.68,20.71,20.74
EDEN,99300.17,99194.13,97652.64,95853.66,94534.66,93448.83,92784.45,92358.73,91954.45,91484.05,91116.36,90769.45,90511.67,90093.99,90012.0,89955.52,89835.26,89646.56,89645.64,89702.68,89731.27,89801.92,89885.7,90014.67,90129.3,90236.16,90335.13,90421.75
FYLDE,108072.06,108392.3,107038.2,105393.47,104287.09,103399.77,103053.89,102899.6,102761.61,102534.19,102425.96,102377.84,102377.78,102244.28,102551.69,102857.88,103052.18,103206.07,103596.47,104076.04,104490.25,104959.31,105446.08,105990.99,106520.36,107042.4,107556.9,108058.34
HIGH PEAK,123651.41,123513.19,121329.68,118840.51,116988.33,115464.6,114626.04,113990.81,113488.09,112896.73,112416.43,112069.21,111766.58,111325.58,111403.28,111476.7,111480.23,111446.43,111702.01,112041.54,112324.13,112666.03,113029.65,113461.63,113876.91,114284.98,114685.53,115072.25
HYNDBURN,86553.24,86140.2,84315.89,82271.77,80664.48,79339.23,78527.02,77892.74,77328.22,76723.86,76250.35,75848.01,75491.39,75042.83,74988.53,74956.99,74846.33,74739.35,74805.98,74965.49,75099.15,75247.83,75411.41,75622.15,75821.16,76014.97,76203.31,76381.81
LANCASTER,208365.07,208332.51,205239.97,201657.28,199139.87,197186.72,196260.27,195732.72,195448.36,194971.14,194609.84,194344.63,194229.35,193877.83,194251.1,194601.79,194806.87,194949.43,195548.06,196285.3,196873.42,197589.31,198335.24,199185.27,200002.41,200801.76,201583.12,202336.13
MANCHESTER,890482.79,892197.51,882548.97,871811.81,864441.6,859698.26,858970.07,860381.24,862923.27,865280.18,868176.86,871295.73,875091.56,878210.91,884239.83,889466.16,893368.02,896821.71,902018.38,907427.66,911851.91,917126.94,922455.65,928107.97,933562.53,938875.39,944049.73,949043.76
NORTHUMBERLAND,4.11,4.08,3.98,3.88,3.8,3.73,3.69,3.65,3.61,3.58,3.54,3.52,3.49,3.46,3.44,3.43,3.41,3.39,3.38,3.37,3.36,3.36,3.35,3.35,3.34,3.34,3.33,3.32
OLDHAM,339249.61,339342.17,334053.98,327833.76,323342.67,319860.71,318165.9,317188.25,316466.13,315494.65,314992.26,314795.09,314781.27,314354.88,315351.37,316405.44,317171.51,317846.91,319251.28,320934.45,322448.61,324123.11,325855.42,327775.92,329646.92,331494.82,333318.99,335101.56
