Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,10853.06,15976.23,21863.37,28697.21,36939.5,48914.5,63614.96,79181.35,94650.72,110714.48,127024.04,143300.32,162829.26,182168.12,198969.32,214261.8,227830.67,240028.97,250358.42,259192.0,266668.72,272894.84,277955.17,281664.44,284590.58,286848.76,288607.87,290014.89
BARROWINFURNESS,5647.62,8212.71,11234.98,14648.97,18695.66,24570.75,31705.17,39096.5,46257.78,53565.65,60841.31,68001.97,76835.41,85602.06,93140.18,100015.65,106139.63,111703.56,116444.42,120543.8,124059.64,127029.02,129475.25,131282.36,132730.62,133870.5,134774.44,135510.68
BLACKBURN WITH DARWEN,14204.59,19701.65,26285.34,33990.48,43367.92,57108.78,74066.46,92165.92,110427.98,129609.26,149264.46,169055.95,192576.1,215845.92,236207.03,254739.06,271192.15,285952.54,298463.76,309144.31,318170.29,325690.09,331823.61,336386.3,340031.22,342913.42,345213.28,347100.31
BLACKPOOL,12946.21,18136.28,24159.07,31060.17,39253.87,51127.89,65479.0,80275.46,94576.82,109160.25,123670.84,137953.47,155614.89,173150.77,188244.69,202039.54,214366.9,225614.24,235248.07,243623.49,250848.78,256987.68,262075.22,265867.67,268921.49,271337.35,273255.97,274816.43
BOLTON,29182.48,40656.63,54073.85,69830.21,89012.4,117027.12,151569.07,188458.86,225727.28,264904.34,305107.59,345625.48,393664.86,441188.43,482820.72,520733.24,554418.68,584654.83,610320.03,632258.48,650821.44,666302.45,678938.48,688354.68,695867.16,701790.2,706494.94,710330.83
BURNLEY,8515.1,12329.98,16671.87,21685.05,27726.37,36476.48,47219.78,58642.24,70119.12,82135.84,94424.56,106774.26,121467.92,136008.07,148723.63,160310.67,170616.18,179886.83,187769.62,194525.99,200259.8,205054.53,208975.89,211898.53,214229.72,216063.45,217514.72,218692.12
BURY,24278.63,30620.05,39366.6,49905.5,62929.4,82519.05,106772.05,132460.11,158110.18,184885.56,212087.92,239332.82,272204.34,304762.49,333074.67,358813.35,381628.79,402114.63,419426.56,434186.72,446654.06,457045.72,465531.66,471819.48,476882.42,480940.24,484235.97,487001.17
CARLISLE,11346.64,15957.51,21966.04,29482.81,39244.18,53913.38,72922.22,94754.2,118518.68,144671.06,172679.15,201757.62,234346.06,266408.0,295101.42,321020.46,343742.02,363526.42,379927.95,393429.6,404349.81,413034.56,419818.0,424749.89,428559.75,431496.64,433819.68,435731.94
CHESHIRE EAST,20993.19,25376.65,31513.11,39068.86,48316.02,62266.05,79184.71,96407.4,112748.3,129219.63,145362.13,161082.18,181074.45,200971.85,217913.69,233384.41,247193.65,259840.73,270646.85,280051.9,288184.1,295114.29,300874.46,305142.65,308609.55,311386.89,313630.71,315496.94
CHORLEY,13883.67,18369.25,24131.35,31182.99,40053.85,53323.68,70011.84,88260.8,107137.63,127286.78,148254.01,169596.11,194461.95,219017.93,240654.08,260278.95,277601.96,292959.59,305848.15,316692.21,325702.6,333079.4,339000.85,343356.72,346797.08,349494.51,351644.39,353416.13
COPELAND,7339.42,10769.58,14667.51,19059.34,24236.43,31699.16,40708.58,49993.61,58941.8,68039.86,77072.8,85942.08,96922.82,107827.81,117200.72,125767.5,133422.64,140411.52,146398.44,151608.26,156106.76,159930.58,163098.89,165455.14,167347.89,168837.38,170013.8,170964.75
CRAVEN,2275.12,2959.59,3830.1,4915.05,6246.73,8226.32,10643.42,13142.98,15531.74,17945.29,20330.13,22654.89,25556.99,28440.68,30892.73,33122.29,35095.13,36878.75,38381.14,39668.28,40760.0,41668.15,42401.23,42918.9,43319.57,43616.75,43840.39,44013.57
DERBYSHIRE DALES,4.5,5.86,7.87,10.47,13.94,19.24,26.17,34.22,43.05,52.84,63.36,74.33,86.57,98.6,109.39,119.12,127.63,135.0,141.08,146.06,150.05,153.19,155.63,157.39,158.75,159.8,160.64,161.35
EDEN,7723.47,10903.05,15304.66,21206.1,29300.38,41666.5,58243.36,78233.68,101025.48,126771.43,154992.82,184747.97,217127.12,248894.19,277684.26,303613.9,326230.75,345651.2,361600.2,374499.14,384696.4,392600.17,398620.49,402958.02,406239.35,408729.65,410687.25,412299.6
FYLDE,9458.41,12250.31,15851.65,20027.11,25010.21,32396.82,41301.01,50308.08,58778.58,67249.98,75483.31,83445.17,93655.85,103822.69,112445.4,120327.81,127376.9,133861.11,139418.98,144281.49,148510.23,152133.95,155160.36,157409.45,159241.91,160713.09,161902.05,162890.09
HIGH PEAK,9509.06,12209.94,15872.77,20304.84,25773.49,33984.7,44131.32,54828.47,65389.77,76320.51,87346.55,98310.53,111645.28,124862.16,136282.13,146656.18,155835.19,164076.87,171019.1,176930.53,181915.08,186055.21,189416.0,191864.77,193812.77,195341.75,196562.19,197570.64
HYNDBURN,7425.08,10682.08,14585.26,19185.47,24874.68,33239.59,43732.84,55240.68,67202.69,80004.22,93365.41,106995.16,122783.33,138365.79,152134.79,164631.06,175672.98,185463.88,193697.26,200633.45,206404.0,211134.75,214937.83,217749.73,219971.18,221713.18,223098.0,224233.43
LANCASTER,13866.81,18995.36,25378.02,33237.51,43170.53,57914.27,76585.36,97373.94,119332.72,143081.93,168121.27,193842.27,223286.99,252319.88,278097.33,301457.76,322045.38,340186.48,355367.46,368051.43,378498.93,386972.45,393715.56,398669.64,402549.78,405567.84,407957.1,409913.39
MANCHESTER,39990.39,54794.19,72277.61,92435.68,116547.64,151684.06,194367.52,238720.88,282108.61,326746.78,371534.76,415943.67,470284.81,524190.93,570848.66,613464.29,651519.33,686123.37,715733.29,741395.6,763460.78,782163.9,797652.64,809261.22,818639.21,826118.18,832107.25,837022.36
NORTHUMBERLAND,0.73,0.96,1.26,1.62,2.05,2.69,3.46,4.24,4.95,5.66,6.33,6.97,7.81,8.64,9.33,9.97,10.53,11.04,11.48,11.85,12.18,12.45,12.68,12.83,12.96,13.05,13.12,13.18
OLDHAM,19995.34,28851.72,38901.68,50498.28,64475.03,84701.17,109542.71,136015.54,162728.74,190785.57,219560.76,248551.98,282928.02,316937.18,346747.85,373920.41,398101.27,419850.69,438361.83,454231.22,467702.3,478974.53,488205.58,495115.93,500641.81,505007.65,508475.37,511297.69
PENDLE,5907.64,8158.83,11011.14,14294.6,18232.5,24044.13,31139.29,38494.54,45598.87,52832.89,60011.82,67057.74,75801.42,84482.1,91915.96,98682.02,104687.52,110127.01,114733.66,118695.13,122073.41,124910.18,127233.73,128929.56,130284.62,131348.4,132194.75,132889.97
PRESTON,15670.15,21318.75,27996.67,35983.95,45806.2,60229.06,78081.42,97241.59,116706.73,137247.7,158407.43,179790.86,205026.18,229980.6,251880.77,271812.62,289504.2,305346.64,318771.05,330215.22,339867.92,347891.49,354420.63,359277.52,363142.3,366181.77,368592.27,370555.63
RIBBLE VALLEY,7970.23,10212.72,13167.27,16759.92,21188.77,27825.2,35994.83,44557.29,52949.03,61589.82,70267.16,78863.05,89378.14,99807.19,108796.98,116972.97,124219.8,130750.16,136268.03,140989.26,144991.34,148331.7,151053.72,153040.72,154621.49,155857.83,156838.47,157641.63
RICHMONDSHIRE,13.12,17.95,24.37,32.89,44.38,61.85,84.9,112.14,142.59,176.63,213.62,252.38,295.04,336.95,374.76,408.86,438.68,464.46,485.73,503.08,516.96,527.84,536.23,542.31,546.95,550.48,553.25,555.51
ROCHDALE,18521.38,25437.21,34115.44,44317.39,56832.58,75333.25,98332.98,123081.18,148246.46,174810.4,202143.6,229752.1,262393.28,294666.93,322945.68,348635.74,371375.65,391674.13,408790.45,423303.69,435476.44,445542.96,453700.45,459733.12,464540.26,468343.37,471392.71,473916.14
ROSSENDALE,7158.15,9368.96,12319.0,15799.06,20039.08,26382.52,34174.95,42302.59,50217.55,58328.6,66425.1,74412.36,84261.98,94035.99,102433.76,110070.69,116840.77,122953.28,128119.03,132545.53,136305.92,139453.45,142026.67,143907.83,145413.97,146603.37,147556.81,148347.19
SALFORD,21772.76,29228.85,38914.97,50527.76,65005.81,86608.2,113729.18,143326.75,173902.89,206515.09,240400.32,274872.34,315128.71,354887.51,389903.21,421665.08,449709.56,474591.25,495481.01,513065.49,527689.28,539680.15,549326.89,556444.2,562094.55,566562.16,570153.47,573140.41
SEFTON,0.55,0.69,0.89,1.14,1.46,1.93,2.52,3.15,3.76,4.39,5.02,5.65,6.41,7.17,7.82,8.41,8.93,9.39,9.78,10.11,10.39,10.62,10.8,10.93,11.03,11.1,11.16,11.21
SOUTH LAKELAND,14353.78,18848.17,24678.81,31898.04,40880.07,54306.78,70965.72,88719.61,106408.23,124818.47,143541.49,162239.04,184688.72,206921.31,226191.58,243678.0,259111.43,272893.2,284452.59,294233.86,302414.75,309140.69,314536.15,318410.49,321432.3,323732.7,325516.96,326949.23
SOUTH RIBBLE,13703.94,18295.41,24284.1,31535.3,40612.69,54187.72,71246.23,89848.04,109014.82,129418.7,150588.18,172090.88,197237.48,222074.93,243913.27,263713.3,281180.0,296665.53,309646.49,320560.87,329624.06,337039.32,342986.56,347346.5,350789.97,353491.19,355648.43,357432.29
ST HELENS,5172.72,7278.65,9913.47,13069.65,17029.22,22909.31,30355.35,38622.86,47325.48,56713.21,66580.85,76698.13,88317.71,99776.59,109935.92,119141.57,127254.83,134410.05,140399.22,145409.23,149542.95,152903.34,155584.77,157559.07,159112.98,160330.76,161302.15,162104.01
STAFFORDSHIRE MOORLANDS,1.07,1.36,1.73,2.18,2.74,3.57,4.59,5.64,6.67,7.72,8.78,9.82,11.1,12.38,13.47,14.47,15.35,16.15,16.83,17.42,17.92,18.33,18.67,18.92,19.12,19.27,19.39,19.49
STOCKPORT,30890.79,41812.33,54886.82,69984.78,88022.52,114347.18,146247.67,179219.92,211243.55,244029.5,276757.07,309077.43,348929.0,388488.2,422617.81,453802.64,481666.09,507061.01,528807.61,547692.13,563966.26,577788.7,589251.4,597829.11,604762.04,610288.31,614711.37,618339.54
TAMESIDE,19302.55,26895.06,36300.52,46911.75,59501.44,77960.74,100368.7,123454.28,145678.39,168265.28,190616.37,212533.64,239856.32,266994.85,290255.73,311473.95,330383.39,347607.83,362294.37,375018.89,385963.52,395243.03,402924.05,408621.74,413231.63,416913.22,419878.42,422336.35
TRAFFORD,27851.37,34765.45,44428.74,56448.98,71687.64,94761.46,123803.6,155454.74,188159.29,223075.52,259352.96,296285.57,339515.72,382219.36,419828.52,453943.76,484072.96,510815.73,533275.44,552188.63,567928.22,580850.99,591267.93,598978.68,605130.05,610033.88,614007.49,617339.55
WARRINGTON,3141.85,3969.44,5129.25,6556.59,8341.89,11034.94,14395.65,18002.88,21651.54,25492.05,29429.3,33395.31,38119.16,42792.46,46870.59,50570.25,53837.22,56748.6,59192.46,61256.19,62979.53,64398.0,65541.74,66378.4,67043.29,67568.12,67990.17,68342.03
WEST LANCASHIRE,12395.43,16126.52,21193.64,27481.61,35452.53,47457.66,62632.27,79312.43,96637.75,115179.15,134514.12,154222.5,177132.58,199749.09,219677.3,237725.46,253616.09,267649.06,279371.04,289174.33,297262.91,303835.28,309071.27,312887.83,315885.37,318224.65,320089.18,321631.64
WIGAN,31908.36,44380.56,59846.27,77760.65,99469.22,131452.97,170864.4,212567.14,254056.87,297201.16,340949.71,384640.49,437280.81,489412.77,534690.65,575870.84,612386.79,645200.14,672952.69,696653.55,716699.64,733409.63,747033.08,757078.29,765100.39,771433.0,776492.98,780662.11
WYRE,12357.81,16526.39,21786.86,27927.55,35313.45,46226.43,59504.0,73199.09,86371.41,99753.39,113001.73,125985.03,142171.96,158251.48,172013.43,184557.67,195718.69,205865.76,214493.04,221946.88,228336.48,233730.53,238171.66,241434.54,244052.85,246117.18,247761.95,249111.98
