Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,3629.93,5890.22,8282.66,10950.96,13933.31,15906.12,17591.37,20487.44,24107.07,27896.38,31838.54,36342.82,42267.79,48348.43,54508.53,60343.45,65651.25,69763.19,73481.8,76987.71,81016.92,85466.34,87938.91,90002.36,91930.0,93776.81,95397.49,94881.89
BARROWINFURNESS,1569.3,2503.09,3397.85,4369.05,5433.68,6073.62,6603.94,7696.25,9072.53,10580.16,12173.09,13992.18,16211.87,18429.42,20664.76,22775.79,24716.29,26329.52,27808.01,29239.14,30782.02,32410.32,33088.21,33584.19,34004.66,34372.81,34616.96,34157.19
BLACKBURN WITH DARWEN,3214.41,5003.98,6905.45,8925.11,11123.3,12779.92,14189.25,16304.31,18962.66,21884.2,24935.94,28347.98,32372.57,36470.3,40653.79,44614.57,48153.38,50786.29,53227.27,55644.31,58121.25,60629.16,61987.43,62996.64,63863.68,64629.31,65174.53,64644.61
BLACKPOOL,5321.03,7890.07,10151.68,12600.22,15277.44,17087.3,18296.7,19946.51,22134.25,24518.51,27057.01,30139.02,34221.44,38447.89,42841.8,47061.39,50913.57,53889.43,56676.03,59509.41,62487.86,65479.47,67824.43,69767.9,71581.31,73312.66,74878.3,74775.42
BOLTON,6679.7,9827.34,13302.11,17068.32,21223.95,24381.32,26932.22,30707.15,35525.7,40857.46,46452.69,52813.95,60355.21,68145.98,76062.57,83471.52,90196.27,95075.3,99670.51,104157.61,108568.97,113110.5,115659.08,117642.23,119370.21,120903.07,122064.68,121322.8
BURNLEY,2265.62,3588.04,5003.93,6567.19,8280.14,9665.81,10869.66,12552.76,14691.38,16990.87,19460.1,22183.91,25303.95,28585.92,31932.2,35137.1,38049.65,40142.02,42113.66,44051.76,46053.11,48091.39,49366.65,50364.33,51254.62,52069.9,52701.68,52531.83
BURY,4362.7,6474.39,8777.61,11317.44,14123.45,16304.43,18011.18,20340.9,23311.59,26531.52,29973.45,33928.94,38754.89,43842.93,49020.21,53984.49,58508.65,61819.35,64975.63,68086.5,71231.38,74461.52,76668.71,78504.83,80188.12,81757.29,83111.51,83084.1
CARLISLE,3704.92,5802.82,8173.54,10758.28,13571.7,15554.01,17100.19,19240.38,21919.21,24727.66,27593.98,30964.06,35524.18,40247.35,45042.57,49551.01,53614.84,56553.59,59258.25,61815.03,64723.04,67867.93,69995.07,71780.2,73450.25,75047.43,76460.86,76003.75
CHESHIRE EAST,3440.59,5252.63,7737.36,10497.05,13559.8,16035.8,18016.63,20483.48,23528.84,26695.38,29944.4,33620.52,38285.36,43269.51,48345.96,53248.81,57689.92,60786.8,63791.27,66747.08,69829.32,73050.53,75455.0,77577.49,79596.93,81541.51,83345.96,83694.01
CHORLEY,2383.86,3893.97,6189.95,8758.57,11594.53,13985.53,16136.54,18997.95,22500.69,26154.21,29862.09,33912.15,38611.74,43597.26,48707.14,53584.0,58021.16,61028.22,63905.55,66679.49,69540.58,72590.11,74429.11,76015.39,77504.85,78923.43,80204.54,80486.63
COPELAND,1797.64,2815.52,3863.81,5018.68,6298.57,7065.84,7722.57,9086.49,10780.35,12583.23,14444.79,16584.04,19426.29,22283.99,25151.23,27861.01,30342.2,32398.64,34273.35,36047.71,38032.89,40190.69,41179.61,41986.67,42723.76,43415.05,43999.88,43551.58
CRAVEN,626.19,1037.58,1506.24,2050.89,2670.83,3102.0,3471.92,4037.25,4733.16,5455.06,6187.61,7024.0,8137.56,9288.98,10459.92,11576.22,12583.28,13339.8,14013.71,14643.09,15386.22,16215.77,16747.62,17207.41,17645.64,18071.82,18460.81,18450.1
DERBYSHIRE DALES,0.48,0.77,1.03,1.33,1.68,1.91,2.11,2.42,2.81,3.24,3.67,4.18,4.83,5.5,6.18,6.84,7.44,7.91,8.33,8.75,9.22,9.72,10.04,10.31,10.56,10.8,11.01,10.99
EDEN,2750.43,4416.03,6224.29,8413.42,11004.67,12489.27,13479.54,14886.34,16644.81,18483.42,20359.79,22849.84,27242.65,31694.28,36194.95,40438.84,44201.34,47100.61,49575.56,51737.0,54637.18,58016.23,60781.95,63292.6,65715.34,68081.17,70247.02,69951.7
