Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,315715.01,314510.12,316825.98,316870.9,315139.7,313106.07,310767.39,308136.35,308508.53,308718.02,308763.27,308644.76,308381.62,307968.16,307421.57,306746.87,305924.61,304964.16,303874.5,302674.12,301355.35,299903.0,298342.66,296670.86,294890.61,293004.78,291016.14,288927.34
BARROWINFURNESS,246667.53,245767.55,247907.83,248040.22,246656.32,245015.28,243161.65,241094.18,241326.55,241445.28,241422.06,241268.62,240983.38,240585.03,240103.71,239524.91,238842.22,238058.16,237180.51,236200.17,235120.44,233891.66,232583.92,231179.05,229680.29,228090.78,226413.52,224651.4
BLACKBURN WITH DARWEN,347793.52,346036.32,348114.01,347761.71,345531.65,343039.29,340299.67,337316.78,337576.62,337699.66,337693.69,337554.76,337267.85,336851.43,336333.43,335724.84,334997.66,334155.12,333200.52,332125.25,330930.07,329554.86,328081.46,326487.19,324774.81,322946.92,321006.07,318954.66
BLACKPOOL,305387.26,303331.86,304388.66,303612.56,301400.97,299004.33,296437.02,293694.94,293748.7,293702.24,293569.94,293333.67,292991.09,292549.28,292027.43,291422.19,290714.04,289896.69,288980.18,287958.65,286833.44,285620.69,284308.66,282903.3,281406.43,279819.83,278145.18,276384.13
BOLTON,592681.87,589891.55,593250.7,592740.7,589227.93,585236.79,580758.33,575867.78,576442.29,576796.67,576923.8,576811.21,576457.24,575904.16,575196.11,574342.83,573297.32,572061.71,570646.34,569050.78,567260.01,565162.49,562910.87,560461.05,557816.76,554981.57,551958.92,548752.12
BURNLEY,263757.57,263042.11,265246.67,265552.66,264370.58,262936.76,261266.4,259391.91,260019.14,260501.96,260862.59,261114.72,261215.26,261208.26,261107.93,260921.97,260629.04,260231.9,259725.21,259113.85,258393.5,257566.39,256639.8,255613.71,254490.09,253270.86,251957.85,250552.81
BURY,374542.46,373596.73,376692.63,377225.8,375733.06,373947.12,371852.31,369440.12,370506.68,371405.09,372172.61,372782.43,373207.95,373520.55,373710.24,373776.47,373696.44,373464.89,373089.85,372568.02,371893.62,371061.84,370091.57,368979.18,367726.9,366336.89,364811.2,363151.79
CARLISLE,426365.66,424623.34,427779.88,427819.2,425388.15,422539.69,419290.33,415639.12,416026.75,416198.15,416100.73,415759.61,415204.02,414448.97,413529.2,412430.81,411152.28,409705.87,408103.88,406344.58,404424.24,402301.69,400042.99,397632.7,395075.22,392374.76,389535.38,386560.96
CHESHIRE EAST,281628.59,281679.15,284951.31,286156.95,285717.79,284998.7,284026.81,282728.24,284045.58,285205.84,286220.79,287059.0,287707.36,288214.81,288584.26,288853.21,288986.26,288976.63,288840.62,288580.49,288198.91,287681.87,287047.35,286293.25,285421.69,284434.7,283334.24,282122.17
CHORLEY,204669.35,204268.0,205938.5,206281.39,205559.93,204635.26,203523.99,202213.85,202790.27,203261.03,203624.31,203883.38,204037.47,204112.88,204122.15,204041.8,203876.82,203626.9,203301.32,202899.17,202417.27,201866.78,201240.46,200541.83,199771.94,198931.82,198022.43,197044.73
COPELAND,142258.27,141515.64,142347.18,142157.68,141186.33,140102.17,138890.81,137566.36,137519.32,137401.02,137221.38,136966.54,136645.82,136277.7,135864.54,135400.02,134882.51,134318.27,133709.49,133054.12,132348.31,131564.28,130744.18,129876.42,128962.66,128004.49,127003.44,125960.99
CRAVEN,52052.53,51936.21,52379.44,52475.53,52276.97,52036.72,51741.03,51403.84,51556.1,51684.59,51786.03,51857.96,51897.28,51914.54,51905.49,51878.81,51827.85,51752.4,51654.96,51534.75,51392.02,51232.79,51051.41,50850.16,50629.43,50389.59,50131.01,49854.03
DERBYSHIRE DALES,174.55,174.3,176.14,176.64,176.1,175.39,174.5,173.44,174.12,174.7,175.19,175.56,175.82,175.99,176.08,176.09,176.02,175.87,175.64,175.33,174.95,174.49,173.95,173.34,172.66,171.91,171.09,170.2
EDEN,245322.03,244226.12,245828.74,245734.43,244292.9,242635.83,240739.19,238627.97,238875.14,238932.32,238861.61,238685.78,238370.35,237931.55,237411.61,236799.27,236082.19,235253.97,234337.85,233326.52,232228.76,231047.37,229779.41,228429.23,226998.89,225490.41,223905.69,222246.57
FYLDE,219906.49,219938.48,222429.82,223328.84,222965.14,222364.69,221518.94,220431.37,221440.97,222312.82,223042.17,223655.54,224126.46,224472.62,224718.0,224864.39,224884.98,224796.98,224607.19,224318.16,223922.6,223468.12,222909.27,222261.64,221526.58,220705.37,219799.23,218809.36
HIGH PEAK,231103.09,230710.21,232941.0,233510.47,232788.74,231858.47,230696.59,229330.94,230154.7,230853.56,231438.9,231888.13,232198.63,232388.8,232476.44,232475.73,232374.35,232171.75,231871.59,231478.54,230984.6,230392.62,229709.69,228935.36,228071.28,227119.02,226080.09,224955.96
HYNDBURN,199431.12,198456.92,199602.49,199408.12,198190.76,196810.89,195295.13,193638.73,193827.99,193919.15,193947.76,193897.54,193775.73,193589.56,193350.54,193057.81,192693.72,192264.99,191767.87,191200.56,190562.51,189840.26,189055.95,188204.05,187285.88,186302.73,185255.83,184146.36
LANCASTER,328965.96,328333.37,331373.24,332207.5,331307.72,330013.4,328365.95,326399.63,327531.85,328320.17,328784.32,329007.64,329097.53,328988.08,328636.64,328055.52,327390.8,326649.67,325809.05,324845.19,323771.42,322502.07,321147.07,319674.08,318085.62,316384.09,314571.82,312651.03
MANCHESTER,1552604.32,1549522.19,1564442.8,1568445.97,1564003.47,1558097.43,1550884.01,1542562.3,1549473.68,1555280.11,1559943.13,1563643.31,1566612.33,1568672.83,1569611.09,1569409.61,1568478.93,1566896.11,1564607.63,1561555.45,1557762.37,1553544.93,1548600.67,1543034.66,1536858.55,1530083.49,1522720.17,1514778.84
NORTHUMBERLAND,320.78,319.11,321.15,320.95,318.88,316.5,313.83,310.86,311.05,311.07,310.89,310.52,309.99,309.3,308.48,307.53,306.45,305.23,303.9,302.45,300.88,299.16,297.34,295.4,293.35,291.19,288.93,286.57
OLDHAM,449651.98,448648.44,452477.72,453248.07,451615.16,449613.37,447237.48,444509.77,446002.82,447282.18,448363.35,449251.5,449954.13,450476.07,450844.56,451064.27,451100.44,450950.62,450617.01,450096.61,449380.96,448516.39,447466.86,446245.69,444855.23,443297.76,441575.44,439690.35
PENDLE,171239.11,170195.25,170874.46,170484.95,169221.42,167829.06,166316.29,164707.3,164684.47,164598.27,164451.58,164238.42,163959.86,163630.97,163258.75,162842.71,162379.83,161863.98,161298.42,160684.81,160016.03,159276.16,158491.99,157656.01,156769.28,155832.79,154847.49,153814.31
PRESTON,344117.57,342977.82,345638.89,345975.99,344492.01,342677.51,340546.85,338124.43,338963.39,339575.19,339962.46,340132.17,340132.22,339951.35,339571.04,339001.43,338295.77,337483.41,336571.0,335542.52,334403.07,333045.79,331604.79,330041.07,328357.37,326556.3,324640.39,322612.04
RIBBLE VALLEY,150851.49,150734.5,152306.57,152775.61,152392.01,151832.65,151132.88,150311.13,150916.7,151439.44,151883.66,152222.5,152474.62,152635.68,152733.78,152771.36,152729.08,152605.94,152415.09,152160.61,151840.03,151466.82,151027.62,150528.31,149969.93,149353.44,148679.81,147949.92
RICHMONDSHIRE,165.51,165.04,166.42,166.67,166.0,165.17,164.19,163.05,163.46,163.77,163.99,164.11,164.14,164.08,163.96,163.78,163.52,163.18,162.78,162.32,161.79,161.19,160.53,159.8,159.02,158.18,157.28,156.32
ROCHDALE,464322.86,463543.34,467669.98,468650.83,467157.28,465250.41,462945.11,460225.76,461879.95,463304.17,464516.6,465515.53,466291.67,466865.82,467276.39,467534.89,467604.15,467473.14,467144.75,466620.87,465897.09,465031.76,463969.02,462728.99,461313.96,459726.1,457967.51,456040.19
ROSSENDALE,188833.45,188260.34,189662.87,189826.63,188988.28,187999.85,186850.92,185558.22,186045.57,186446.05,186769.29,187004.54,187148.39,187226.5,187241.0,187197.4,187078.23,186883.87,186620.27,186282.73,185870.5,185390.58,184840.23,184221.33,183534.86,182781.76,181962.92,181079.22
SALFORD,600147.84,600547.65,607531.83,610225.64,609560.24,608285.18,606449.05,604068.99,607500.32,610546.71,613240.79,615615.19,617663.43,619361.13,620699.07,621685.79,622370.23,622737.38,622776.36,622456.6,621801.24,621153.17,620128.22,618849.91,617321.45,615545.89,613526.16,611265.06
SEFTON,10.51,10.46,10.52,10.52,10.46,10.39,10.31,10.22,10.23,10.23,10.23,10.22,10.21,10.19,10.16,10.13,10.1,10.07,10.03,9.99,9.95,9.9,9.85,9.8,9.74,9.68,9.61,9.54
SOUTH LAKELAND,334094.79,333260.73,336175.93,336710.36,335399.5,333750.44,331804.51,329522.53,330373.1,331004.64,331446.79,331706.37,331769.97,331650.87,331408.88,331035.64,330517.2,329842.96,329036.04,328101.96,327031.63,325821.91,324488.72,323030.76,321450.84,319751.64,317935.75,316005.66
SOUTH RIBBLE,265447.79,265118.85,267829.12,268548.54,267720.11,266596.31,265234.63,263613.28,264510.95,265257.14,265851.85,266305.51,266607.56,266807.86,266906.87,266882.14,266732.64,266464.08,266085.48,265589.59,264976.53,264248.18,263412.72,262470.01,261422.25,260271.55,259019.95,257669.37
ST HELENS,91690.93,91450.03,92185.61,92293.76,91909.7,91442.61,90896.19,90277.12,90498.77,90681.02,90821.58,90920.98,90977.84,90994.04,90976.0,90929.4,90849.48,90734.38,90583.75,90398.65,90178.42,89919.74,89628.84,89304.52,88947.4,88558.07,88137.07,87684.95
STAFFORDSHIRE MOORLANDS,13.36,13.37,13.52,13.58,13.56,13.53,13.49,13.43,13.49,13.55,13.6,13.64,13.67,13.7,13.72,13.73,13.74,13.74,13.73,13.72,13.7,13.68,13.65,13.62,13.58,13.53,13.48,13.42
STOCKPORT,570111.4,567843.18,571367.35,571281.3,568367.37,565026.21,561306.47,557132.87,558179.69,558963.31,559513.83,559864.21,559955.32,559874.2,559614.21,559194.81,558574.52,557759.33,556759.52,555571.17,554189.38,552539.73,550722.51,548709.92,546505.08,544110.94,541530.35,538766.05
TAMESIDE,443056.96,440797.0,442830.05,442215.86,439505.65,436498.49,433189.91,429585.26,430069.07,430399.2,430583.74,430608.1,430476.09,430200.48,429796.1,429265.39,428590.44,427766.19,426796.57,425680.0,424409.11,423002.83,421452.9,419763.71,417937.21,415975.27,413879.69,411652.2
TRAFFORD,699205.77,697802.37,704098.46,705416.71,702785.34,699554.72,695689.62,691137.84,693289.11,695206.49,696739.4,698018.54,698876.27,699483.83,699938.93,700188.21,700150.38,699819.84,699233.92,698407.72,697311.51,695800.91,694069.66,692061.86,689781.67,687233.07,684419.88,681345.76
WARRINGTON,69947.35,69662.48,70146.14,70140.28,69751.14,69300.6,68791.41,68222.66,68319.1,68383.84,68421.06,68425.86,68399.0,68350.68,68278.24,68184.94,68066.33,67921.65,67752.51,67558.35,67337.94,67084.32,66808.48,66507.53,66182.0,65832.38,65459.16,65062.8
WEST LANCASHIRE,310841.05,309439.39,311432.48,311308.67,309568.57,307518.32,305199.68,302636.63,303032.03,303184.03,303119.45,302881.33,302543.82,302060.48,301409.8,300603.15,299719.11,298773.96,297763.97,296666.68,295485.85,294069.72,292607.99,291042.9,289376.78,287611.85,285750.25,283794.03
WIGAN,569687.11,567758.12,571765.18,572000.04,569258.45,566031.26,562348.36,558223.84,559337.54,560219.55,560869.66,561278.3,561447.9,561387.59,561128.92,560698.58,560056.86,559198.12,558129.25,556847.4,555348.59,553639.92,551730.41,549621.29,547316.15,544818.43,542131.42,539258.29
WYRE,250434.53,249421.94,250966.29,250914.32,249645.51,248191.49,246521.3,244663.09,245139.61,245475.93,245710.29,245829.44,245829.74,245718.52,245504.69,245187.68,244754.16,244219.78,243579.52,242842.54,242003.68,241126.77,240145.0,239081.04,237936.32,236712.19,235409.96,234030.88
