Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,493300.86,513430.73,528162.03,553851.28,582839.82,597999.86,621038.7,644301.02,667201.59,695892.55,721820.53,752894.85,797109.66,848480.11,877077.4,904068.68,930162.66,954423.74,968805.77,987052.15,996140.15,1004340.62,1014842.76,1018668.21,1020850.76,1022738.13,1023242.47,1021369.66
BARROWINFURNESS,378542.31,393989.29,405293.59,425006.65,447251.46,458884.77,476563.99,494414.7,511987.82,534004.29,553900.54,577745.92,611674.85,651094.79,673039.38,693751.58,713775.21,732392.33,743428.62,757430.27,764404.09,770696.85,778755.83,781691.35,783366.17,784814.48,785201.49,783764.35
BLACKBURN WITH DARWEN,588155.72,622751.27,649003.47,676582.95,722133.01,748059.44,775445.33,804588.23,837577.6,869108.15,905931.05,933298.34,967711.59,997590.93,1026753.48,1059461.31,1082074.87,1102531.53,1118419.22,1132299.93,1151806.85,1161898.58,1169265.79,1174792.35,1179059.17,1182290.63,1184575.11,1185027.43
BLACKPOOL,645442.04,682045.51,717640.73,738225.81,761628.05,798030.34,829046.81,854949.23,882611.96,921468.16,949421.5,982131.38,1014734.03,1047568.96,1077327.18,1104634.03,1128601.02,1158118.72,1175904.39,1191584.72,1205286.96,1217469.34,1226611.23,1233457.68,1238969.92,1243481.36,1246926.7,1248093.69
BOLTON,1168348.1,1223150.1,1266276.05,1339973.8,1407198.4,1450561.35,1502160.44,1557546.25,1615471.17,1670703.18,1727125.54,1783938.34,1848893.1,1911272.02,1968218.86,2019690.99,2063907.26,2105420.21,2139216.28,2169236.11,2194999.04,2217902.38,2235869.88,2250126.37,2262009.4,2271918.11,2279834.72,2284626.1
BURNLEY,359621.02,376606.34,395769.7,412320.03,428708.28,447926.92,476746.93,496335.47,517514.93,544125.79,566153.24,588539.13,615517.89,644840.17,668481.57,690548.39,711698.79,733732.55,743733.92,752558.92,760225.21,767150.63,772213.0,776069.07,779148.94,781588.64,783414.8,784072.1
BURY,780126.53,817087.4,846251.34,895292.82,940022.13,968916.74,1003491.99,1040302.45,1078811.67,1115709.74,1153176.39,1190900.47,1234116.62,1275732.54,1313577.56,1347795.01,1377197.41,1405183.31,1427661.08,1447636.44,1464790.55,1480058.6,1492033.05,1501539.69,1509467.65,1516081.68,1521369.9,1524572.84
CARLISLE,539347.52,561356.4,577462.78,605549.97,637244.41,653819.55,679008.93,704442.64,729480.84,760849.93,789198.14,823173.06,871515.05,927680.62,958947.3,988458.06,1016987.75,1043513.46,1059237.96,1079187.53,1089123.84,1098089.77,1109572.22,1113754.76,1116141.04,1118204.58,1118756.0,1116708.37
CHESHIRE EAST,539318.05,557609.69,578549.84,599928.4,615594.42,635904.41,659620.61,682370.93,705294.72,727943.21,750480.77,778687.46,805655.53,862021.6,911699.43,933481.09,951768.06,970468.45,986389.0,999139.73,1010472.41,1020679.59,1029518.03,1035712.64,1040854.98,1045230.65,1048681.97,1050363.78
CHORLEY,416341.72,439908.15,462687.29,476486.57,491953.81,515214.23,535196.62,552020.51,569965.7,594865.41,612959.6,634027.22,655114.68,676315.91,695533.36,713158.25,728614.76,747520.58,759003.35,769130.97,777976.55,785842.59,791754.46,796191.79,799769.82,802701.1,804943.96,805729.42
COPELAND,369076.63,384137.35,395158.98,414379.1,436067.67,447410.08,464647.22,482051.56,499185.25,520651.19,540049.92,563299.03,596379.55,634813.77,656209.63,676403.9,695926.83,714078.42,724838.73,738490.26,745289.7,751425.11,759282.57,762144.69,763777.63,765189.72,765567.05,764165.85
CRAVEN,79711.06,82881.0,85565.34,88475.03,91441.62,93698.26,98419.88,101486.64,104710.62,109668.02,113152.21,117044.6,122663.15,129437.9,133265.31,136848.51,140149.59,145819.79,147873.59,150088.43,151513.37,152821.26,154063.48,154687.73,155109.45,155441.9,155607.08,155470.95
DERBYSHIRE DALES,62.06,65.72,67.99,69.55,71.37,73.5,75.92,79.19,83.29,85.85,88.44,91.08,95.45,98.39,101.37,103.89,106.15,108.33,110.08,111.67,113.02,114.26,115.27,116.1,116.68,117.09,117.41,117.56
EDEN,275243.14,286474.84,294694.35,309027.98,325202.48,333661.21,346516.01,359495.49,372273.14,388281.61,402748.44,420086.73,444756.91,473419.67,489375.88,504435.99,518995.43,532532.2,540556.82,550737.61,555808.37,560383.92,566243.71,568378.17,569595.95,570649.03,570930.43,569885.47
FYLDE,326892.6,345455.56,363371.82,373950.36,386248.79,404554.99,420247.52,433467.45,447621.36,467231.76,481600.82,498122.32,514721.26,531349.39,546458.8,560435.48,572588.56,587419.93,596421.54,604355.12,611426.54,617577.35,622188.97,625642.59,628419.61,630687.48,632415.89,632994.67
HIGH PEAK,384529.63,407163.98,421335.62,431166.83,442510.82,455707.15,470755.88,490985.09,516353.76,532240.63,548315.57,564649.16,591735.68,609974.67,628394.27,644043.61,657979.52,671478.31,682344.18,692187.32,700576.38,708248.01,714520.5,719654.25,723215.81,725788.42,727731.68,728658.81
HYNDBURN,370163.09,385183.48,399072.33,408467.04,417389.61,427674.53,452762.07,464884.68,478650.24,502554.5,516822.96,530810.76,551107.48,576081.4,591082.74,605295.41,617278.91,648709.75,657323.67,664868.89,671814.37,677847.87,681901.72,684868.18,687130.12,688809.7,689927.74,689961.08
LANCASTER,569675.17,598992.86,643602.15,670260.7,698756.51,730378.82,768822.95,816980.87,849233.61,877677.41,907453.86,937503.79,972865.15,1007986.26,1384629.11,1418503.04,1434820.05,1445003.77,1458657.06,1476597.68,1484435.73,1497803.47,1503394.8,1503398.55,1507008.76,1501621.94,1493345.02,1489686.88
MANCHESTER,2092185.73,2199733.78,2299751.97,2404995.68,2484296.0,2562077.34,2653043.88,2740109.53,2837006.0,2926011.18,3017080.36,3128907.89,3234930.84,3343727.93,3443590.62,3520900.0,3584959.94,3657255.91,3715554.88,3760484.1,3799536.64,3834684.74,3865460.06,3887138.78,3904445.47,3918786.98,3929847.16,3935840.44
NORTHUMBERLAND,11.06,11.51,11.84,12.42,13.07,13.41,13.93,14.45,14.96,15.61,16.19,16.88,17.88,19.03,19.67,20.27,20.86,21.4,21.73,22.13,22.34,22.52,22.76,22.84,22.89,22.94,22.95,22.9
OLDHAM,909684.23,960986.13,1003992.1,1041364.39,1078603.37,1107836.51,1140612.74,1177266.71,1217943.8,1254664.82,1291567.49,1329309.13,1375465.15,1418254.39,1458501.43,1495000.26,1527260.58,1555452.12,1580510.16,1603093.11,1622855.81,1640866.76,1655462.98,1667408.38,1677384.55,1685794.74,1692826.79,1697372.1
PENDLE,322764.09,335532.93,347851.59,356009.65,362884.66,372064.45,394830.52,405501.71,417544.22,438920.99,451280.59,463868.28,481980.58,504569.76,518049.22,530553.83,541514.22,569673.2,577200.1,583799.84,589522.09,594837.37,598411.77,601032.59,603039.17,604537.82,605544.43,605602.49
PRESTON,575273.79,609221.14,634965.51,661524.23,706327.9,731782.39,758558.75,787084.09,819456.88,850393.47,886673.92,913420.5,947143.31,976325.71,1004886.89,1037104.18,1059254.15,1079214.24,1094734.34,1108284.6,1127569.47,1137401.38,1144560.97,1149919.19,1154042.06,1157150.09,1159333.51,1159715.58
RIBBLE VALLEY,224867.72,235176.75,244078.49,251121.36,259997.4,267302.99,281179.21,289625.35,299214.12,313041.54,323285.02,332341.69,344915.09,359010.75,368709.93,378475.34,386148.98,402016.19,407487.25,412274.57,417442.28,421158.35,423716.98,425602.59,427044.53,428120.43,428849.4,428906.54
RICHMONDSHIRE,283.74,295.31,303.79,318.56,335.24,343.96,357.21,370.59,383.76,400.26,415.18,433.05,458.48,488.03,504.48,520.0,535.01,548.96,557.24,567.73,572.96,577.68,583.72,585.92,587.17,588.26,588.55,587.47
