Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,243911.88,245346.41,248351.17,254363.99,271969.83,288705.81,303374.28,316159.77,326166.69,336503.02,346273.85,355992.74,365782.67,375694.08,385652.1,395665.87,405733.02,415803.99,425900.72,436010.81,446115.39,456215.35,466310.23,476400.04,486484.78,496564.46,506639.07,514191.71
BARROWINFURNESS,16141.08,16259.0,16504.97,16741.59,17938.89,19065.22,19995.73,20741.32,21496.56,22240.49,22953.06,23672.0,24413.39,25187.18,25974.14,26777.65,27596.56,28417.61,29246.23,30079.25,30911.74,31743.93,32575.71,33407.06,34238.0,35068.52,35898.62,36520.92
BLACKBURN WITH DARWEN,477.39,477.89,478.75,478.76,533.77,594.75,598.87,562.38,549.19,479.07,475.9,473.76,473.96,475.05,476.6,479.27,482.71,486.37,490.23,494.25,498.25,502.26,506.27,510.27,514.28,518.28,522.27,525.27
BLACKPOOL,98.83,100.45,103.55,104.93,133.44,162.62,170.14,159.23,151.66,122.2,111.79,103.91,100.34,101.99,105.83,112.62,122.06,131.96,143.12,155.05,166.96,178.87,190.79,202.69,214.59,226.49,238.38,247.29
BOLTON,98.83,102.13,108.27,110.7,175.94,244.1,261.07,236.99,223.44,162.22,152.93,148.26,153.51,164.07,177.16,195.39,217.46,240.44,264.68,289.76,314.82,339.88,364.93,389.96,414.99,440.0,464.99,483.73
BURNLEY,71102.2,71127.23,71178.86,71226.17,71507.73,71778.57,71971.06,72096.72,72234.55,72333.86,72471.43,72612.99,72765.88,72926.13,73089.71,73259.43,73433.95,73609.47,73786.68,73964.97,74143.14,74321.26,74499.28,74677.22,74855.06,75032.82,75210.49,75343.68
BURY,735.22,763.74,823.21,879.36,1182.23,1469.03,1689.16,1847.71,2012.75,2149.84,2295.81,2445.7,2603.11,2776.86,2957.09,3144.26,3338.44,3533.5,3732.47,3933.7,4134.78,4335.82,4536.75,4737.58,4938.32,5138.95,5339.48,5489.81
CARLISLE,126781.99,127181.57,128018.64,129069.92,133669.49,138064.92,141545.34,144266.42,146996.11,149473.84,152202.58,154915.9,157647.29,160411.04,163187.12,165977.71,168782.3,171587.79,174400.1,177215.9,180030.18,182843.16,185654.72,188464.88,191273.62,194080.95,196886.88,198990.39
CHESHIRE EAST,91.6,92.36,93.8,94.54,503.84,961.04,986.42,710.71,631.42,115.38,117.05,119.42,123.73,128.09,132.56,137.79,143.43,149.23,155.03,160.85,166.67,172.49,178.31,184.12,189.93,195.74,201.54,205.9
CHORLEY,5503.3,5534.32,5599.31,5663.5,6038.83,6402.49,6656.43,6824.0,7026.6,7169.48,7377.28,7584.25,7792.92,8005.42,8219.39,8434.93,8652.06,8869.31,9087.41,9305.97,9524.41,9742.75,9960.98,10179.11,10397.12,10615.02,10832.82,10996.09
COPELAND,49968.42,50500.98,51614.5,52702.02,58129.36,63236.57,67499.28,70982.0,74545.89,78123.97,81545.84,84971.72,88458.34,92043.29,95667.42,99338.74,103054.96,106776.53,110520.62,114277.46,118032.06,121785.14,125536.33,129285.64,133033.06,136778.61,140522.26,143328.77
CRAVEN,694.24,715.93,759.74,794.97,1059.82,1319.01,1470.72,1530.2,1602.62,1597.53,1667.1,1746.89,1849.13,1967.5,2093.08,2231.28,2379.55,2529.91,2684.1,2840.71,2997.19,3153.65,3310.03,3466.34,3622.57,3778.71,3934.78,4051.78
DERBYSHIRE DALES,0.0,0.0,0.0,0.0,0.04,0.08,0.08,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.06,0.06
EDEN,2944.74,3008.17,3139.81,3263.34,4353.69,5460.27,5974.5,6046.91,6338.94,6129.49,6486.52,6850.97,7235.81,7642.08,8057.37,8485.75,8925.49,9367.15,9813.82,10263.51,10712.9,11162.15,11611.17,12059.96,12508.53,12956.87,13404.98,13740.92
FYLDE,65.09,68.27,74.83,80.51,164.89,253.58,278.92,257.6,260.97,203.6,213.31,224.25,237.29,253.75,271.6,291.1,312.19,333.51,355.65,378.28,400.89,423.49,446.09,468.67,491.25,513.81,536.36,553.27
