Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,0.0,1.59,4.3,7.77,11.94,16.87,20.79,23.86,26.15,27.82,29.02,30.12,31.33,32.51,33.77,34.92,36.09,37.3,38.51,39.72,40.95,42.13,43.27,44.38,45.41,46.41,47.35,48.07
BARROWINFURNESS,51.74,52.16,52.87,53.79,54.89,56.19,57.23,58.06,58.69,59.16,59.51,59.85,60.21,60.58,60.96,61.33,61.7,62.08,62.46,62.85,63.25,63.62,63.99,64.34,64.66,64.98,65.27,65.5
BLACKBURN WITH DARWEN,0.0,1.97,5.3,9.58,14.74,20.83,25.66,29.44,32.25,34.3,35.73,37.05,38.48,39.86,41.34,42.68,44.03,45.44,46.83,48.22,49.64,50.99,52.31,53.6,54.79,55.95,57.04,57.87
BLACKPOOL,26.18,26.95,28.25,29.92,31.93,34.32,36.23,37.76,38.94,39.85,40.55,41.22,41.97,42.71,43.51,44.26,45.04,45.84,46.65,47.47,48.3,49.1,49.87,50.6,51.28,51.93,52.54,53.04
BOLTON,0.01,1.93,8.39,15.78,24.02,33.18,41.13,44.87,47.69,49.78,51.3,52.71,54.26,55.78,57.41,58.91,60.44,62.02,63.6,65.19,66.81,68.35,69.84,71.29,72.63,73.93,75.14,76.09
BURNLEY,0.0,0.82,2.22,4.01,6.17,8.72,10.75,12.35,13.55,14.44,15.08,15.68,16.34,16.98,17.67,18.3,18.94,19.6,20.27,20.94,21.62,22.26,22.89,23.5,24.06,24.61,25.12,25.52
BURY,20.7,21.86,27.53,33.76,40.5,47.81,54.37,56.64,58.34,59.61,60.53,61.38,62.32,63.24,64.23,65.14,66.06,67.02,67.98,68.94,69.92,70.86,71.76,72.64,73.45,74.24,74.97,75.55
CARLISLE,0.31,1.76,4.25,7.43,11.25,15.76,19.34,22.13,24.22,25.74,26.84,27.85,28.95,30.04,31.2,32.26,33.33,34.45,35.56,36.68,37.82,38.91,39.96,40.99,41.94,42.86,43.73,44.4
CHESHIRE EAST,20.7,21.88,23.88,26.45,29.55,33.21,36.12,38.42,40.15,41.43,42.36,43.22,44.16,45.09,46.08,47.0,47.93,48.89,49.85,50.82,51.8,52.74,53.65,54.53,55.35,56.14,56.88,57.46
CHORLEY,0.0,1.31,3.62,6.57,10.1,14.25,17.56,20.08,21.96,23.33,24.3,25.19,26.16,27.1,28.11,29.02,29.94,30.9,31.86,32.81,33.78,34.71,35.61,36.49,37.3,38.1,38.84,39.41
COPELAND,10.35,11.2,12.65,14.51,16.75,19.39,21.5,23.14,24.38,25.27,25.91,26.5,27.14,27.76,28.43,29.04,29.65,30.28,30.92,31.55,32.2,32.82,33.41,34.0,34.54,35.07,35.56,35.94
