Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,104.68,105.29,106.58,109.16,116.72,123.9,130.19,135.68,139.98,144.41,148.61,152.78,156.98,161.23,165.5,169.8,174.12,178.44,182.78,187.12,191.45,195.79,200.12,204.45,208.78,213.1,217.43,220.67
BARROWINFURNESS,6.93,6.98,7.08,7.18,7.7,8.18,8.58,8.9,9.23,9.54,9.85,10.16,10.48,10.81,11.15,11.49,11.84,12.2,12.55,12.91,13.27,13.62,13.98,14.34,14.69,15.05,15.41,15.67
BLACKBURN WITH DARWEN,0.2,0.21,0.21,0.21,0.23,0.26,0.26,0.24,0.24,0.21,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.22,0.23
BLACKPOOL,0.04,0.04,0.04,0.05,0.06,0.07,0.07,0.07,0.07,0.05,0.05,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.08,0.08,0.09,0.09,0.1,0.1,0.11
BOLTON,0.04,0.04,0.05,0.05,0.08,0.1,0.11,0.1,0.1,0.07,0.07,0.06,0.07,0.07,0.08,0.08,0.09,0.1,0.11,0.12,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21
BURNLEY,30.51,30.52,30.55,30.57,30.69,30.8,30.89,30.94,31.0,31.04,31.1,31.16,31.23,31.3,31.37,31.44,31.51,31.59,31.67,31.74,31.82,31.9,31.97,32.05,32.12,32.2,32.28,32.33
BURY,0.32,0.33,0.35,0.38,0.51,0.63,0.72,0.79,0.86,0.92,0.99,1.05,1.12,1.19,1.27,1.35,1.43,1.52,1.6,1.69,1.77,1.86,1.95,2.03,2.12,2.21,2.29,2.36
CARLISLE,54.41,54.58,54.94,55.39,57.36,59.25,60.74,61.91,63.08,64.15,65.32,66.48,67.66,68.84,70.03,71.23,72.43,73.64,74.84,76.05,77.26,78.47,79.67,80.88,82.09,83.29,84.5,85.4
CHESHIRE EAST,0.04,0.04,0.04,0.04,0.22,0.41,0.42,0.31,0.27,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.09
CHORLEY,2.36,2.38,2.4,2.43,2.59,2.75,2.86,2.93,3.02,3.08,3.17,3.25,3.34,3.44,3.53,3.62,3.71,3.81,3.9,3.99,4.09,4.18,4.27,4.37,4.46,4.56,4.65,4.72
COPELAND,21.44,21.67,22.15,22.62,24.95,27.14,28.97,30.46,31.99,33.53,35.0,36.47,37.96,39.5,41.06,42.63,44.23,45.82,47.43,49.04,50.65,52.26,53.87,55.48,57.09,58.7,60.31,61.51
CRAVEN,0.3,0.31,0.33,0.34,0.45,0.57,0.63,0.66,0.69,0.69,0.72,0.75,0.79,0.84,0.9,0.96,1.02,1.09,1.15,1.22,1.29,1.35,1.42,1.49,1.55,1.62,1.69,1.74
DERBYSHIRE DALES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDEN,1.26,1.29,1.35,1.4,1.87,2.34,2.56,2.6,2.72,2.63,2.78,2.94,3.11,3.28,3.46,3.64,3.83,4.02,4.21,4.4,4.6,4.79,4.98,5.18,5.37,5.56,5.75,5.9
FYLDE,0.03,0.03,0.03,0.03,0.07,0.11,0.12,0.11,0.11,0.09,0.09,0.1,0.1,0.11,0.12,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24
HIGH PEAK,0.02,0.02,0.03,0.03,0.11,0.21,0.21,0.16,0.14,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.07,0.07,0.08,0.08,0.09,0.09,0.1,0.1,0.1
HYNDBURN,26.23,26.23,26.24,26.25,26.29,26.32,26.34,26.34,26.33,26.3,26.28,26.26,26.26,26.26,26.27,26.28,26.31,26.33,26.35,26.38,26.41,26.43,26.46,26.49,26.51,26.54,26.57,26.59
LANCASTER,30.53,30.73,31.13,31.53,33.48,35.32,36.89,38.2,39.56,40.96,42.3,43.63,44.96,46.3,47.64,48.99,50.34,51.69,53.04,54.39,55.74,57.09,58.44,59.78,61.13,62.48,63.82,64.83
MANCHESTER,0.04,0.04,0.04,0.04,0.06,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.1,0.11,0.11,0.12,0.13,0.13,0.14,0.15,0.16,0.16
NORTHUMBERLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLDHAM,0.16,0.16,0.16,0.16,0.19,0.23,0.24,0.22,0.21,0.18,0.17,0.16,0.16,0.16,0.16,0.17,0.18,0.2,0.21,0.22,0.24,0.25,0.27,0.28,0.29,0.31,0.32,0.33
PENDLE,0.65,0.66,0.68,0.7,0.8,0.9,0.96,0.98,0.99,0.97,0.96,0.96,0.96,0.99,1.03,1.08,1.14,1.2,1.26,1.33,1.4,1.47,1.53,1.6,1.67,1.74,1.81,1.86
PRESTON,0.04,0.04,0.05,0.05,0.09,0.13,0.14,0.13,0.14,0.12,0.12,0.13,0.14,0.15,0.16,0.18,0.19,0.2,0.21,0.23,0.24,0.25,0.26,0.28,0.29,0.3,0.31,0.32
RIBBLE VALLEY,0.86,0.86,0.87,0.87,0.94,1.01,1.03,1.01,1.0,0.93,0.92,0.91,0.91,0.92,0.93,0.95,0.98,1.0,1.03,1.06,1.09,1.12,1.15,1.18,1.21,1.24,1.27,1.29
RICHMONDSHIRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROCHDALE,1.26,1.27,1.29,1.31,1.42,1.54,1.61,1.65,1.69,1.7,1.73,1.77,1.81,1.86,1.92,1.98,2.05,2.12,2.19,2.26,2.33,2.4,2.47,2.54,2.62,2.69,2.76,2.81
ROSSENDALE,106.3,106.32,106.36,106.39,106.59,106.77,106.9,106.97,107.02,107.03,107.05,107.09,107.14,107.23,107.33,107.44,107.57,107.7,107.84,107.98,108.12,108.26,108.4,108.54,108.68,108.83,108.97,109.07
SALFORD,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEFTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH LAKELAND,42.13,42.27,42.55,42.83,44.32,45.75,46.86,47.7,48.63,49.47,50.4,51.32,52.25,53.19,54.14,55.09,56.04,57.0,57.96,58.91,59.87,60.83,61.79,62.74,63.7,64.65,65.61,66.32
SOUTH RIBBLE,0.03,0.03,0.03,0.03,0.05,0.07,0.07,0.06,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.06
ST HELENS,1.07,1.07,1.08,1.09,1.15,1.21,1.24,1.26,1.28,1.29,1.32,1.35,1.37,1.4,1.43,1.46,1.49,1.52,1.55,1.58,1.61,1.64,1.67,1.71,1.74,1.77,1.8,1.82
STAFFORDSHIRE MOORLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STOCKPORT,0.02,0.02,0.02,0.02,0.04,0.06,0.06,0.05,0.04,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04
TAMESIDE,0.03,0.03,0.03,0.03,0.05,0.08,0.08,0.07,0.07,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.1,0.1
