Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,3257.0,4464.0,6037.0,8008.0,10474.0,13994.0,18237.0,22798.0,27263.0,31681.0,35978.0,40135.0,44607.0,48969.0,53095.0,56967.0,60514.0,63774.0,66584.0,69046.0,71192.0,73054.0,74596.0,75756.0,76730.0,77464.0,78031.0,78495.0
BARROWINFURNESS,2013.0,2758.0,3712.0,4894.0,6358.0,8435.0,10926.0,13593.0,16194.0,18765.0,21265.0,23682.0,26271.0,28795.0,31182.0,33420.0,35469.0,37352.0,38972.0,40390.0,41599.0,42621.0,43473.0,44112.0,44650.0,45080.0,45426.0,45680.0
BLACKBURN WITH DARWEN,4799.0,6530.0,8683.0,11212.0,14185.0,18412.0,23486.0,28898.0,34160.0,39349.0,44380.0,49233.0,54351.0,59321.0,64011.0,68401.0,72294.0,75861.0,78910.0,81544.0,83732.0,85558.0,87057.0,88133.0,88988.0,89549.0,89976.0,90339.0
BLACKPOOL,4110.0,5648.0,7592.0,9951.0,12806.0,16856.0,21710.0,26893.0,31935.0,36914.0,41748.0,46415.0,51395.0,56242.0,60822.0,65114.0,69038.0,72599.0,75629.0,78278.0,80563.0,82436.0,83957.0,85063.0,85928.0,86617.0,87190.0,87645.0
BOLTON,9545.0,12966.0,17245.0,22286.0,28229.0,36697.0,46879.0,57748.0,68324.0,78750.0,88858.0,98608.0,108874.0,118841.0,128243.0,137040.0,144885.0,152016.0,158092.0,163236.0,167564.0,171278.0,174386.0,176601.0,178277.0,179509.0,180468.0,181254.0
BURNLEY,2475.0,3388.0,4571.0,6033.0,7833.0,10401.0,13492.0,16797.0,20017.0,23194.0,26276.0,29250.0,32409.0,35478.0,38377.0,41092.0,43573.0,45847.0,47798.0,49500.0,50975.0,52249.0,53273.0,54004.0,54588.0,55049.0,55401.0,55688.0
BURY,6904.0,9379.0,12422.0,15937.0,20000.0,25774.0,32703.0,40090.0,47269.0,54346.0,61207.0,67825.0,74785.0,81542.0,87774.0,93348.0,98430.0,103086.0,107059.0,110517.0,113507.0,116028.0,118058.0,119564.0,120693.0,121552.0,122232.0,122768.0
CARLISLE,3891.0,5322.0,7162.0,9417.0,12182.0,16138.0,20916.0,26055.0,31090.0,36070.0,40913.0,45597.0,50627.0,55530.0,60167.0,64518.0,68501.0,72162.0,75314.0,78075.0,80395.0,82316.0,83900.0,85115.0,86136.0,86936.0,87561.0,88029.0
CHESHIRE EAST,7058.0,9463.0,12464.0,15998.0,20181.0,26123.0,33254.0,40862.0,48261.0,55559.0,62638.0,69470.0,76602.0,83525.0,90054.0,96160.0,101729.0,106825.0,111177.0,114959.0,118218.0,120945.0,123018.0,124373.0,125364.0,126093.0,126725.0,127258.0
CHORLEY,4223.0,5734.0,7673.0,10040.0,12931.0,17057.0,22024.0,27343.0,32533.0,37658.0,42632.0,47436.0,52529.0,57481.0,62158.0,66538.0,70542.0,74213.0,77361.0,80109.0,82488.0,84538.0,86263.0,87568.0,88472.0,89105.0,89599.0,90004.0
COPELAND,2340.0,3194.0,4302.0,5686.0,7415.0,9871.0,12820.0,15976.0,19054.0,22096.0,25050.0,27906.0,30953.0,33920.0,36724.0,39353.0,41758.0,43966.0,45863.0,47523.0,48965.0,50212.0,51260.0,52065.0,52737.0,53249.0,53621.0,53910.0
