Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,291.0,512.0,993.0,1533.0,2140.0,2577.0,3014.0,3805.0,4687.0,5611.0,6577.0,7634.0,8982.0,10383.0,11779.0,13130.0,14389.0,15424.0,16417.0,17354.0,18357.0,19524.0,20003.0,20466.0,20916.0,21358.0,21772.0,21824.0
BARROWINFURNESS,153.0,256.0,438.0,637.0,857.0,994.0,1115.0,1386.0,1698.0,2040.0,2401.0,2801.0,3285.0,3775.0,4260.0,4730.0,5173.0,5569.0,5953.0,6325.0,6707.0,7141.0,7277.0,7402.0,7518.0,7624.0,7712.0,7686.0
BLACKBURN WITH DARWEN,356.0,570.0,1003.0,1468.0,1980.0,2394.0,2755.0,3229.0,3735.0,4290.0,4865.0,5495.0,6259.0,7056.0,7861.0,8637.0,9324.0,9837.0,10341.0,10834.0,11312.0,11840.0,12121.0,12383.0,12626.0,12851.0,13039.0,13064.0
BLACKPOOL,693.0,1029.0,1545.0,2118.0,2758.0,3210.0,3484.0,3783.0,4102.0,4453.0,4834.0,5304.0,5987.0,6718.0,7466.0,8202.0,8862.0,9371.0,9876.0,10377.0,10870.0,11424.0,11900.0,12368.0,12825.0,13271.0,13698.0,13865.0
BOLTON,975.0,1440.0,2302.0,3250.0,4303.0,5163.0,5871.0,6774.0,7755.0,8844.0,9983.0,11265.0,12800.0,14435.0,16087.0,17650.0,19068.0,20087.0,21095.0,22073.0,22991.0,24010.0,24605.0,25160.0,25673.0,26143.0,26543.0,26624.0
BURNLEY,218.0,367.0,679.0,1033.0,1428.0,1774.0,2086.0,2463.0,2868.0,3296.0,3756.0,4249.0,4829.0,5466.0,6106.0,6733.0,7302.0,7697.0,8093.0,8474.0,8847.0,9259.0,9537.0,9803.0,10058.0,10302.0,10517.0,10618.0
BURY,672.0,1013.0,1596.0,2249.0,2978.0,3580.0,4054.0,4617.0,5231.0,5891.0,6601.0,7403.0,8388.0,9462.0,10541.0,11591.0,12538.0,13214.0,13889.0,14545.0,15176.0,15875.0,16372.0,16848.0,17301.0,17731.0,18123.0,18288.0
CARLISLE,427.0,688.0,1220.0,1802.0,2437.0,2924.0,3335.0,3858.0,4408.0,4980.0,5559.0,6217.0,7115.0,8070.0,9022.0,9930.0,10751.0,11339.0,11916.0,12448.0,13020.0,13695.0,14105.0,14506.0,14897.0,15280.0,15641.0,15680.0
CHESHIRE EAST,589.0,921.0,1580.0,2319.0,3145.0,3865.0,4489.0,5213.0,5981.0,6774.0,7585.0,8474.0,9571.0,10779.0,12001.0,13201.0,14285.0,15022.0,15771.0,16504.0,17238.0,18042.0,18643.0,19234.0,19815.0,20385.0,20937.0,21235.0
CHORLEY,350.0,608.0,1203.0,1875.0,2622.0,3304.0,3991.0,4878.0,5826.0,6814.0,7817.0,8888.0,10096.0,11403.0,12738.0,14033.0,15224.0,16045.0,16861.0,17650.0,18436.0,19302.0,19782.0,20248.0,20701.0,21144.0,21566.0,21817.0
