Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,126.0,203.0,243.0,284.0,329.0,371.0,418.0,482.0,552.0,626.0,704.0,791.0,879.0,971.0,1073.0,1169.0,1258.0,1321.0,1376.0,1437.0,1509.0,1577.0,1631.0,1665.0,1696.0,1727.0,1753.0,1749.0
BARROWINFURNESS,59.0,94.0,113.0,132.0,153.0,172.0,194.0,224.0,256.0,290.0,326.0,366.0,406.0,449.0,495.0,540.0,580.0,609.0,634.0,662.0,695.0,726.0,750.0,765.0,779.0,792.0,803.0,801.0
BLACKBURN WITH DARWEN,108.0,173.0,205.0,239.0,276.0,309.0,347.0,398.0,454.0,513.0,575.0,643.0,713.0,785.0,864.0,938.0,1007.0,1054.0,1095.0,1141.0,1195.0,1245.0,1284.0,1307.0,1328.0,1348.0,1365.0,1359.0
BLACKPOOL,166.0,266.0,316.0,369.0,425.0,479.0,538.0,619.0,708.0,802.0,901.0,1011.0,1124.0,1241.0,1371.0,1494.0,1607.0,1689.0,1760.0,1838.0,1932.0,2019.0,2089.0,2134.0,2175.0,2216.0,2251.0,2248.0
BOLTON,189.0,302.0,357.0,415.0,476.0,533.0,595.0,681.0,774.0,871.0,971.0,1083.0,1195.0,1310.0,1436.0,1554.0,1660.0,1731.0,1790.0,1856.0,1937.0,2008.0,2063.0,2090.0,2114.0,2137.0,2153.0,2132.0
BURNLEY,75.0,121.0,145.0,170.0,197.0,222.0,251.0,289.0,332.0,377.0,425.0,478.0,532.0,589.0,651.0,711.0,766.0,807.0,842.0,881.0,927.0,970.0,1006.0,1029.0,1050.0,1071.0,1089.0,1089.0
BURY,119.0,191.0,228.0,267.0,308.0,347.0,390.0,449.0,513.0,581.0,652.0,731.0,812.0,896.0,988.0,1076.0,1156.0,1213.0,1263.0,1317.0,1382.0,1443.0,1491.0,1520.0,1547.0,1574.0,1596.0,1591.0
CARLISLE,121.0,195.0,233.0,273.0,315.0,356.0,400.0,461.0,528.0,599.0,673.0,755.0,839.0,926.0,1022.0,1113.0,1197.0,1256.0,1308.0,1366.0,1434.0,1497.0,1548.0,1579.0,1608.0,1636.0,1660.0,1656.0
CHESHIRE EAST,122.0,197.0,237.0,279.0,325.0,368.0,417.0,483.0,555.0,633.0,714.0,806.0,899.0,997.0,1106.0,1210.0,1306.0,1377.0,1440.0,1509.0,1591.0,1668.0,1732.0,1774.0,1814.0,1853.0,1888.0,1890.0
CHORLEY,79.0,128.0,153.0,179.0,208.0,235.0,265.0,306.0,350.0,398.0,447.0,503.0,560.0,619.0,684.0,747.0,804.0,845.0,882.0,922.0,969.0,1014.0,1050.0,1073.0,1095.0,1116.0,1135.0,1134.0
COPELAND,63.0,101.0,121.0,141.0,163.0,184.0,206.0,237.0,271.0,307.0,344.0,386.0,428.0,472.0,520.0,565.0,607.0,636.0,661.0,689.0,723.0,754.0,778.0,792.0,806.0,818.0,829.0,826.0
CRAVEN,30.0,48.0,57.0,67.0,78.0,88.0,99.0,115.0,132.0,150.0,169.0,190.0,211.0,234.0,259.0,283.0,305.0,321.0,335.0,351.0,369.0,387.0,401.0,410.0,418.0,427.0,434.0,434.0
