Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,0.07,0.1,0.12,0.13,0.14,0.14,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14
100101,289.89,527.4,741.31,949.21,1155.74,1363.97,1574.62,1789.2,1980.79,2187.58,2388.73,2604.75,2811.79,3005.04,3183.39,3344.97,3490.47,3621.24,3750.06,3875.61,3995.67,4114.97,4230.75,4345.85,4459.9,4572.5,4683.25,4791.71
100102,178.34,467.94,791.42,1134.11,1490.1,1856.83,2232.81,2617.17,2967.9,3341.02,3706.09,4094.72,4467.56,4815.83,5138.47,5435.65,5706.73,5951.31,6190.44,6424.08,6649.95,6868.85,7080.0,7288.23,7492.96,7693.59,7889.46,8079.86
100103,218.92,555.59,926.6,1317.16,1720.85,2135.38,2559.15,2991.5,3384.77,3803.05,4211.19,4645.31,5061.24,5449.06,5807.92,6136.83,6435.94,6705.75,6969.13,7226.0,7474.39,7716.01,7949.54,8180.5,8408.39,8632.64,8852.66,9067.82
100104,90.02,201.37,317.65,437.5,560.06,685.07,812.31,941.69,1058.37,1182.58,1303.4,1432.01,1554.77,1668.68,1773.6,1869.35,1956.01,2033.73,2109.47,2183.22,2254.42,2323.47,2390.0,2455.68,2520.35,2583.82,2645.9,2706.4
100105,4.76,6.92,8.1,8.87,9.42,9.85,10.2,10.5,10.6,10.75,10.85,10.99,11.07,11.07,11.01,10.91,10.76,10.58,10.4,10.23,10.06,9.88,9.71,9.55,9.38,9.22,9.06,8.9
100106,25.7,37.56,44.13,48.57,51.86,54.52,56.76,58.74,59.72,61.01,61.99,63.21,64.09,64.59,64.74,64.57,64.12,63.46,62.85,62.24,61.6,61.02,60.44,59.9,59.4,58.92,58.47,58.02
100107,208.35,581.43,1006.43,1460.66,1935.05,2425.62,2930.52,3448.06,3924.3,4431.47,4930.16,5461.88,5974.46,6457.69,6908.2,7325.36,7707.95,8056.45,8399.98,8736.36,9061.65,9380.74,9690.83,9998.55,10303.22,10604.07,10900.28,11190.98
100108,161.11,443.45,763.62,1104.89,1460.78,1828.11,2205.69,2592.43,2946.83,3313.44,3672.48,4055.51,4423.96,4768.84,5089.22,5385.1,5656.1,5902.29,6144.3,6381.98,6612.31,6837.5,7056.32,7273.62,7488.94,7701.77,7911.54,8117.68
100109,163.24,390.21,634.03,887.6,1147.55,1412.56,1681.68,1954.29,2199.26,2458.31,2708.59,2973.17,3223.35,3452.78,3661.12,3848.04,4013.64,4158.16,4295.69,4426.17,4548.4,4662.64,4768.16,4868.06,4961.7,5048.44,5127.57,5198.34
100110,226.63,564.41,934.14,1322.38,1723.32,2134.57,2554.81,2982.94,3371.75,3784.69,4187.34,4615.42,5024.54,5405.24,5756.41,6077.85,6369.23,6630.76,6885.39,7132.76,7370.83,7600.64,7821.13,8037.64,8249.49,8455.99,8656.4,8849.89
100111,52.38,76.19,89.05,97.42,103.44,108.09,111.84,114.99,116.1,117.72,118.73,120.21,120.98,120.97,120.31,119.1,117.43,115.38,113.39,111.44,109.48,107.55,105.62,103.75,101.92,100.12,98.33,96.53
100112,25.03,36.5,42.79,46.95,49.99,52.39,54.38,56.08,56.79,57.55,58.0,58.69,59.04,59.0,58.66,58.06,57.24,56.24,55.28,54.34,53.41,52.5,51.59,50.72,49.88,49.06,48.25,47.45
100113,175.17,450.74,756.45,1079.57,1414.45,1759.19,2112.23,2473.27,2802.89,3154.0,3496.87,3861.3,4210.96,4537.61,4839.82,5115.72,5365.53,5590.08,5808.54,6020.08,6222.29,6418.72,6607.01,6791.57,6971.82,7147.11,7316.74,7479.96
100114,345.86,1323.63,2505.51,3789.11,5134.96,6526.88,7954.83,9413.96,10750.91,11290.24,11779.28,12322.5,12801.35,13200.6,13526.95,13784.63,13979.93,14118.85,14251.84,14377.27,14490.08,14594.69,14687.12,14776.87,14861.91,14940.27,15010.01,15069.21
100116,6.39,9.29,10.86,11.89,12.63,13.2,13.67,14.06,14.21,14.42,14.56,14.76,14.88,14.9,14.85,14.73,14.56,14.34,14.14,13.94,13.75,13.56,13.37,13.2,13.03,12.87,12.72,12.57
100117,36.96,53.78,62.89,68.84,73.15,76.5,79.23,81.54,82.4,83.65,84.47,85.65,86.33,86.47,86.15,85.47,84.48,83.23,82.03,80.88,79.74,78.63,77.52,76.48,75.49,74.53,73.6,72.69
100118,26.94,39.35,46.19,50.75,54.14,56.82,59.08,61.03,61.93,63.12,64.0,65.15,65.94,66.32,66.35,66.1,65.59,64.88,64.23,63.6,62.96,62.35,61.75,61.19,60.67,60.18,59.71,59.26
100119,281.22,741.04,1253.45,1794.21,2353.0,2925.78,3509.76,4103.49,4641.16,5210.29,5762.22,6345.93,6900.61,7412.5,7880.22,8302.21,8678.61,9010.12,9327.39,9629.85,9914.45,10183.37,10434.29,10673.99,10901.2,11114.56,11312.6,11493.74
100120,0.45,0.68,0.83,0.94,1.04,1.13,1.21,1.29,1.35,1.42,1.49,1.56,1.63,1.68,1.73,1.77,1.79,1.81,1.83,1.84,1.86,1.88,1.89,1.91,1.93,1.95,1.97,1.99
100122,445.37,909.62,1372.11,1842.47,2322.21,2812.61,3313.4,3825.57,4289.46,4787.41,5274.64,5796.0,6296.7,6765.36,7199.16,7597.19,7958.74,8284.09,8603.87,8916.16,9215.52,9508.38,9790.89,10069.51,10343.25,10611.06,10871.79,11124.24
100123,160.8,365.61,581.27,804.35,1032.88,1266.28,1504.01,1745.88,1964.34,2196.86,2423.06,2663.71,2893.44,3106.69,3303.06,3482.06,3643.84,3788.74,3929.72,4066.65,4198.41,4325.95,4448.47,4569.02,4687.25,4802.81,4915.28,5024.26
100124,12.76,18.62,21.84,23.99,25.57,26.83,27.87,28.78,29.18,29.72,30.11,30.63,30.98,31.14,31.14,31.0,30.75,30.4,30.08,29.77,29.47,29.17,28.88,28.61,28.36,28.13,27.9,27.69
100125,237.14,576.06,944.33,1330.78,1729.96,2140.24,2560.04,2989.17,3380.34,3797.42,4204.66,4637.84,5053.35,5441.54,5800.52,6128.08,6424.43,6690.65,6949.9,7200.89,7440.51,7673.53,7896.85,8115.73,8329.45,8537.2,8738.13,8931.3
100126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100127,7.6,11.04,12.89,14.09,14.95,15.62,16.15,16.6,16.75,16.98,17.12,17.33,17.44,17.44,17.35,17.18,16.95,16.67,16.4,16.14,15.89,15.64,15.39,15.15,14.92,14.7,14.48,14.27
100128,155.16,382.27,629.78,889.14,1156.46,1430.35,1709.74,1994.22,2252.02,2488.78,2717.28,2960.89,3191.36,3402.89,3595.27,3768.06,3921.64,4056.65,4187.05,4312.5,4431.6,4545.68,4653.62,4758.49,4859.8,4957.05,5049.67,5137.08
100129,18.98,27.72,32.52,35.73,38.09,39.97,41.54,42.89,43.5,44.31,44.91,45.7,46.22,46.47,46.47,46.26,45.87,45.33,44.82,44.33,43.82,43.33,42.85,42.39,41.95,41.53,41.12,40.71
100130,344.97,848.9,1398.18,1974.04,2568.04,3176.9,3798.24,4430.97,5004.38,5613.17,6205.18,6833.18,7431.75,7986.35,8495.2,8957.17,9372.01,9740.13,10095.36,10436.97,10761.09,11070.57,11362.89,11645.48,11917.09,12176.35,12421.8,12651.85
100131,247.06,646.27,1089.75,1556.91,2039.11,2532.83,3035.85,3546.76,4008.65,4497.08,4970.62,5471.66,5947.49,6386.22,6787.17,7149.76,7474.02,7760.25,8034.75,8297.58,8546.69,8782.36,9003.55,9216.2,9419.33,9611.89,9792.77,9960.76
100132,50.21,73.07,85.49,93.64,99.56,104.18,107.98,111.22,112.53,114.37,115.63,117.36,118.44,118.79,118.51,117.7,116.45,114.84,113.3,111.81,110.34,108.92,107.52,106.21,104.97,103.78,102.64,101.53
100134,268.38,691.68,1165.35,1670.62,2200.17,2750.53,3319.61,3906.79,4449.26,5030.87,5606.35,6223.2,6821.9,7389.56,7922.49,8421.98,8885.36,9310.71,9733.62,10152.91,10562.35,10966.31,11362.55,11758.81,12154.32,12548.23,12939.61,13327.44
100135,549.37,1030.31,1475.17,1911.05,2345.03,2781.38,3221.32,3666.37,4060.58,4483.05,4891.28,5327.34,5740.87,6121.65,6468.87,6781.02,7058.99,7304.34,7542.36,7771.95,7990.03,8200.84,8401.41,8597.32,8787.7,8971.64,9148.16,9316.25
100136,172.59,423.42,697.35,985.43,1283.82,1590.8,1905.29,2226.69,2519.37,2830.98,3135.68,3460.09,3770.87,4060.72,4328.48,4574.48,4797.97,4998.44,5193.98,5384.29,5566.95,5743.02,5911.59,6076.57,6237.35,6393.27,6543.65,6687.71
100138,148.23,283.39,412.87,543.97,677.94,816.64,959.89,1109.35,1248.36,1400.85,1552.32,1715.95,1877.19,2032.87,2180.81,2317.75,2444.36,2562.28,2680.85,2797.97,2910.92,3027.14,3142.61,3259.48,3377.56,3496.63,3616.47,3736.83
100139,24.05,35.08,41.14,45.17,48.14,50.49,52.46,54.16,54.92,55.95,56.7,57.69,58.36,58.68,58.68,58.43,57.97,57.32,56.72,56.15,55.57,55.02,54.48,53.99,53.53,53.1,52.69,52.3
100140,14.39,21.01,24.66,27.1,28.91,30.36,31.57,32.64,33.15,33.82,34.33,34.97,35.42,35.66,35.72,35.59,35.32,34.95,34.59,34.24,33.88,33.55,33.22,32.92,32.64,32.37,32.12,31.88
100502_T11_T12,6.01,9.05,10.95,12.42,13.64,14.75,15.77,16.78,17.55,18.45,19.25,20.12,20.91,21.6,22.17,22.57,22.85,23.05,23.25,23.44,23.57,23.76,23.94,24.14,24.35,24.56,24.79,25.01
100502_T13,1.86,4.1,6.53,9.2,12.09,15.24,18.61,22.28,25.91,27.32,28.57,29.93,31.18,32.28,33.2,33.87,34.34,34.69,35.05,35.38,35.63,35.95,36.28,36.62,36.98,37.36,37.74,38.13
100508,24.05,45.2,65.67,87.0,109.33,133.2,158.47,185.73,212.29,223.61,233.74,244.73,254.76,263.62,270.97,276.3,280.05,282.76,285.61,288.18,290.07,292.65,295.19,297.89,300.73,303.67,306.7,309.79
