Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,4.14,4.18,4.23,4.25,4.25,4.24,4.22,4.21,4.24,4.26,4.29,4.31,4.32,4.34,4.35,4.36,4.37,4.37,4.37,4.37,4.37,4.37,4.36,4.35,4.33,4.32,4.3,4.28
100101,16.69,17.79,18.85,19.71,20.52,21.34,21.89,22.08,22.39,22.71,23.01,23.31,23.64,23.96,24.26,24.53,24.75,24.92,25.08,25.22,25.36,25.49,25.59,25.66,25.72,25.77,25.81,25.82
100102,11.73,12.02,12.22,12.36,12.53,12.73,12.94,13.16,13.44,13.72,14.0,14.36,14.82,15.27,15.69,16.08,16.41,16.7,16.97,17.22,17.45,17.66,17.84,17.99,18.13,18.24,18.35,18.41
100103,16.34,16.52,16.7,16.84,17.04,17.33,17.75,18.22,18.82,19.58,20.3,21.0,21.82,22.61,23.34,24.01,24.59,25.1,25.55,25.96,26.3,26.61,26.85,27.04,27.2,27.32,27.43,27.51
100104,4.15,4.24,4.56,4.86,5.16,5.46,6.01,6.57,7.16,7.75,8.09,8.19,8.3,8.41,8.51,8.6,8.68,8.74,8.8,8.85,8.9,8.95,8.98,9.0,9.02,9.04,9.05,9.05
100105,14.38,14.81,14.97,15.02,15.08,15.17,15.27,15.38,15.58,15.77,15.96,16.17,16.43,16.68,16.94,17.18,17.39,17.54,17.7,17.86,18.02,18.17,18.28,18.37,18.43,18.49,18.53,18.54
100106,14.27,15.8,16.37,16.58,16.73,16.89,17.07,17.29,17.66,18.04,18.43,18.82,19.38,20.69,21.9,23.01,24.0,24.85,25.59,26.22,26.75,27.2,27.55,27.81,28.01,28.15,28.25,28.31
100107,14.47,14.74,14.89,15.01,15.17,15.37,15.61,15.87,16.21,16.64,17.07,17.54,18.11,18.67,19.22,19.72,20.16,20.52,20.87,21.2,21.49,21.78,22.02,22.24,22.44,22.62,22.78,22.89
100108,13.89,14.26,14.44,14.54,14.68,14.87,15.1,15.34,15.79,16.16,16.49,16.84,17.3,17.74,18.15,18.53,18.87,19.16,19.46,19.74,19.99,20.22,20.43,20.6,20.76,20.9,21.03,21.11
100109,7.07,7.25,7.41,7.56,7.72,7.91,8.11,8.31,8.54,8.77,9.0,9.23,9.5,9.77,10.01,10.22,10.4,10.55,10.69,10.82,10.93,11.03,11.1,11.15,11.19,11.22,11.24,11.24
