Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,21678.33,21829.96,22106.59,22193.88,22162.27,22109.04,22039.78,21963.1,22090.48,22203.33,22300.61,22387.14,22464.04,22528.5,22579.65,22611.55,22630.25,22631.25,22619.59,22598.71,22570.62,22534.32,22481.03,22412.53,22333.88,22246.22,22148.61,22033.29
100101,89053.91,93526.45,98111.79,101782.64,105227.23,108828.73,111460.12,112751.03,114626.51,116513.52,118356.1,120196.23,122227.22,124203.72,126035.79,127650.96,129026.62,130109.08,131083.06,131937.68,132658.49,133329.98,133807.56,134162.83,134435.78,134637.82,134767.46,134785.72
100102,51528.9,52920.89,54089.78,55170.6,56496.07,58357.51,60596.8,62908.86,65129.27,67337.28,69490.83,71650.06,74385.85,77068.13,79490.96,81729.51,83710.41,85460.84,87069.26,88552.98,89891.06,91103.91,92134.13,92984.82,93724.43,94366.39,94922.15,95322.99
100103,82505.37,83977.2,85755.83,87476.85,89585.56,92523.07,96533.37,100983.82,105835.06,110938.62,115904.55,120726.16,126307.48,131740.9,136737.77,141268.62,145234.04,148669.2,151692.4,154339.17,156609.51,158571.26,160106.92,161302.68,162270.33,163048.36,163670.7,164040.26
100104,17476.93,17881.02,19113.04,20267.59,21442.75,22736.32,24931.65,27158.62,29426.09,31689.3,33118.14,33733.47,34493.01,35229.35,35882.75,36472.92,36990.48,37444.65,37852.47,38220.5,38546.36,38841.87,39059.31,39226.51,39362.38,39470.28,39554.45,39590.52
100105,63543.81,65353.15,66308.88,66960.25,67815.14,69129.44,70794.7,72539.24,74234.02,75892.7,77511.71,79111.84,81207.02,83285.78,85200.64,86981.67,88555.71,89910.13,91159.15,92321.2,93380.14,94338.33,95098.79,95686.09,96170.9,96568.58,96879.25,97046.98
100106,57162.9,64694.69,67845.93,69697.85,71606.67,73943.53,76761.37,80135.36,84397.03,89086.69,94148.82,99468.09,105120.64,110697.49,115922.71,120684.7,124915.46,128480.16,131565.77,134239.57,136540.36,138506.71,139933.84,140976.56,141759.84,142331.19,142710.19,142834.13
100107,67913.85,69397.09,70664.97,71801.77,73225.15,75234.37,77733.88,80388.38,83070.27,85756.08,88429.51,91161.91,94553.04,97905.13,101014.05,103886.13,106425.62,108597.89,110630.03,112505.66,114187.36,115748.46,117074.35,118201.39,119202.8,120095.46,120888.88,121445.96
100108,64219.1,66056.76,67298.31,68327.13,69649.93,71648.06,74157.57,76736.89,79786.61,82334.87,84674.64,87011.01,90053.78,93037.18,95738.68,98232.69,100443.48,102403.12,104212.37,105889.6,107399.31,108766.06,109953.82,110933.47,111787.76,112533.38,113184.23,113651.95
100109,29779.26,30589.26,31352.93,32104.34,33012.87,34199.91,35597.64,37053.57,38409.1,39756.96,41062.58,42359.14,43988.09,45569.72,46969.99,48236.26,49338.74,50312.75,51184.29,51969.58,52665.51,53289.19,53770.72,54134.58,54425.55,54651.66,54816.61,54900.97
100110,53898.7,55250.33,56283.95,57179.7,58299.59,59906.15,61910.4,64028.33,66039.71,68045.07,70013.31,72014.31,74564.31,77046.06,79299.33,81365.09,83187.76,84797.68,86274.85,87634.88,88860.74,89972.08,90877.36,91611.57,92240.28,92776.52,93228.38,93488.08
100111,63612.18,67316.8,68569.53,70303.13,74183.66,75832.49,77910.75,80200.41,82644.61,84489.36,86418.45,88384.43,90875.59,93338.75,95638.59,97763.0,99604.26,101147.37,102539.14,103781.97,104868.95,105851.28,106544.47,107054.8,107446.35,108084.25,108263.12,108246.49
100112,67397.35,68452.97,69202.34,69807.8,70674.9,72031.74,73766.61,75604.69,77360.8,79065.16,80718.65,82358.19,84626.3,86851.97,88874.05,90715.81,92311.1,93711.84,94977.7,96131.99,97167.28,98102.45,98825.76,99354.47,99767.85,100082.82,100305.02,100305.82
100113,54584.22,57204.11,58963.56,60526.09,62084.96,64020.33,66234.13,68547.88,70808.63,73054.2,75225.54,77376.33,80042.51,82662.18,85036.07,87182.71,89043.81,90665.28,92155.69,93517.34,94730.38,95870.99,96821.82,97600.77,98273.42,98852.37,99349.3,99718.58
100114,71009.52,74217.92,76563.03,78614.24,80910.95,83593.53,86633.2,89853.74,92936.72,95079.85,97137.93,99252.33,101715.98,104037.53,106148.8,108003.08,109551.33,110824.31,112003.63,113077.53,114015.38,114877.1,115544.58,116070.53,116501.96,116850.5,117117.23,117257.87
