Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.06
100101,0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.36,0.4,0.44,0.47,0.51,0.55,0.58,0.62,0.65,0.68,0.7,0.72,0.74
100102,0.02,0.02,0.03,0.03,0.04,0.06,0.08,0.1,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.33,0.36,0.39,0.43,0.46,0.49,0.53,0.56,0.58,0.61,0.63,0.65,0.67
100103,0.06,0.06,0.07,0.08,0.11,0.15,0.2,0.25,0.3,0.36,0.41,0.46,0.51,0.56,0.61,0.65,0.7,0.75,0.79,0.84,0.89,0.93,0.97,1.01,1.04,1.07,1.09,1.11
100104,0.02,0.02,0.02,0.02,0.03,0.04,0.06,0.07,0.09,0.1,0.12,0.13,0.15,0.16,0.18,0.19,0.2,0.22,0.23,0.24,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.32
100105,0.02,0.02,0.02,0.03,0.04,0.05,0.07,0.09,0.12,0.15,0.18,0.21,0.25,0.29,0.33,0.37,0.41,0.45,0.5,0.55,0.59,0.64,0.68,0.72,0.75,0.78,0.81,0.84
100106,0.02,0.02,0.02,0.03,0.04,0.05,0.07,0.09,0.12,0.14,0.17,0.19,0.22,0.25,0.28,0.3,0.33,0.36,0.39,0.42,0.46,0.48,0.51,0.54,0.56,0.58,0.6,0.61
100107,0.1,0.1,0.12,0.15,0.2,0.26,0.34,0.43,0.52,0.61,0.7,0.79,0.88,0.96,1.04,1.13,1.2,1.29,1.36,1.44,1.53,1.6,1.67,1.74,1.79,1.83,1.87,1.9
100108,0.06,0.06,0.07,0.08,0.11,0.15,0.2,0.25,0.31,0.36,0.42,0.47,0.53,0.58,0.64,0.69,0.74,0.8,0.85,0.9,0.96,1.01,1.06,1.1,1.14,1.17,1.19,1.22
100109,0.03,0.03,0.04,0.05,0.06,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.32,0.36,0.39,0.42,0.45,0.48,0.51,0.55,0.58,0.61,0.63,0.66,0.68,0.69,0.71
100110,0.08,0.09,0.1,0.12,0.17,0.22,0.29,0.37,0.45,0.53,0.61,0.69,0.78,0.85,0.93,1.01,1.09,1.17,1.25,1.32,1.41,1.48,1.55,1.61,1.67,1.71,1.75,1.78
100111,0.05,0.06,0.07,0.08,0.11,0.15,0.19,0.24,0.3,0.35,0.4,0.46,0.51,0.56,0.61,0.66,0.71,0.76,0.81,0.86,0.92,0.97,1.01,1.05,1.09,1.12,1.14,1.16
100112,0.05,0.06,0.06,0.08,0.11,0.14,0.19,0.24,0.3,0.35,0.41,0.47,0.53,0.58,0.64,0.7,0.75,0.81,0.87,0.93,0.99,1.05,1.1,1.15,1.19,1.23,1.26,1.29
100113,0.05,0.05,0.06,0.07,0.09,0.13,0.17,0.21,0.26,0.31,0.35,0.4,0.45,0.49,0.53,0.58,0.62,0.67,0.72,0.76,0.81,0.85,0.89,0.93,0.96,0.99,1.01,1.03
100114,0.05,0.06,0.06,0.08,0.11,0.15,0.19,0.25,0.3,0.36,0.42,0.49,0.55,0.61,0.67,0.74,0.8,0.87,0.94,1.0,1.07,1.13,1.19,1.25,1.3,1.34,1.37,1.4
100116,0.03,0.03,0.03,0.04,0.05,0.07,0.09,0.11,0.14,0.16,0.19,0.21,0.24,0.26,0.28,0.3,0.33,0.35,0.37,0.4,0.42,0.44,0.46,0.48,0.5,0.51,0.52,0.53
100117,0.03,0.03,0.03,0.04,0.05,0.07,0.1,0.13,0.16,0.19,0.22,0.26,0.29,0.33,0.37,0.41,0.44,0.48,0.52,0.56,0.6,0.64,0.68,0.71,0.74,0.77,0.79,0.81
100118,0.05,0.06,0.06,0.08,0.11,0.14,0.19,0.24,0.29,0.35,0.4,0.46,0.52,0.57,0.63,0.69,0.74,0.8,0.86,0.91,0.98,1.03,1.08,1.13,1.17,1.21,1.23,1.26
100119,0.06,0.07,0.07,0.09,0.13,0.17,0.22,0.28,0.35,0.41,0.48,0.54,0.61,0.67,0.74,0.81,0.87,0.94,1.0,1.07,1.14,1.2,1.26,1.32,1.36,1.4,1.44,1.47
100120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
100122,0.04,0.05,0.05,0.07,0.09,0.12,0.15,0.19,0.24,0.28,0.32,0.37,0.41,0.45,0.49,0.53,0.57,0.62,0.66,0.7,0.74,0.78,0.82,0.85,0.88,0.91,0.93,0.94
100123,0.03,0.03,0.04,0.05,0.06,0.09,0.11,0.14,0.18,0.21,0.25,0.28,0.32,0.36,0.4,0.44,0.47,0.51,0.55,0.59,0.63,0.67,0.71,0.74,0.77,0.79,0.82,0.83
100124,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.13,0.14,0.15,0.16,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.25
100125,0.05,0.05,0.06,0.08,0.1,0.14,0.18,0.24,0.29,0.34,0.4,0.46,0.52,0.57,0.63,0.69,0.74,0.8,0.86,0.92,0.98,1.04,1.09,1.14,1.18,1.22,1.24,1.27
100126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
