Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,3.0,4.0,5.0,7.0,9.0,11.0,14.0,17.0,20.0,23.0,26.0,29.0,32.0,35.0,37.0,40.0,42.0,44.0,46.0,48.0,49.0,50.0,51.0,51.0,51.0,51.0,52.0,52.0
100101,239.0,330.0,437.0,553.0,679.0,858.0,1073.0,1303.0,1527.0,1748.0,1962.0,2169.0,2391.0,2607.0,2812.0,3003.0,3178.0,3339.0,3477.0,3566.0,3622.0,3669.0,3709.0,3740.0,3766.0,3789.0,3810.0,3827.0
100102,774.0,1044.0,1384.0,1786.0,2260.0,2933.0,3741.0,4596.0,5425.0,6238.0,7025.0,7782.0,8565.0,9322.0,10034.0,10698.0,11303.0,11855.0,12324.0,12730.0,13078.0,13367.0,13571.0,13711.0,13806.0,13884.0,13942.0,13988.0
100103,713.0,978.0,1309.0,1699.0,2157.0,2809.0,3589.0,4418.0,5222.0,6013.0,6779.0,7518.0,8296.0,9051.0,9764.0,10430.0,11038.0,11589.0,12055.0,12460.0,12809.0,13100.0,13327.0,13477.0,13562.0,13632.0,13686.0,13733.0
100104,264.0,362.0,474.0,589.0,705.0,869.0,1065.0,1273.0,1475.0,1675.0,1868.0,2055.0,2252.0,2445.0,2617.0,2750.0,2872.0,2984.0,3079.0,3162.0,3234.0,3289.0,3325.0,3351.0,3367.0,3382.0,3395.0,3407.0
100105,1053.0,1392.0,1799.0,2251.0,2754.0,3466.0,4317.0,5218.0,6088.0,6943.0,7768.0,8563.0,9361.0,10131.0,10854.0,11527.0,12137.0,12692.0,13160.0,13542.0,13860.0,14101.0,14242.0,14302.0,14355.0,14402.0,14446.0,14488.0
100106,251.0,347.0,459.0,581.0,713.0,899.0,1122.0,1359.0,1590.0,1817.0,2038.0,2250.0,2477.0,2698.0,2903.0,3085.0,3251.0,3403.0,3534.0,3622.0,3687.0,3744.0,3793.0,3829.0,3858.0,3883.0,3902.0,3917.0
100107,730.0,998.0,1350.0,1792.0,2345.0,3130.0,4073.0,5078.0,6053.0,7015.0,7946.0,8843.0,9791.0,10710.0,11577.0,12385.0,13123.0,13799.0,14378.0,14881.0,15316.0,15691.0,16001.0,16239.0,16437.0,16599.0,16722.0,16811.0
100108,1039.0,1386.0,1821.0,2332.0,2934.0,3790.0,4816.0,5906.0,6963.0,8002.0,9008.0,9976.0,10972.0,11936.0,12839.0,13671.0,14428.0,15119.0,15705.0,16213.0,16647.0,17018.0,17327.0,17545.0,17696.0,17779.0,17847.0,17910.0
100109,427.0,574.0,758.0,978.0,1240.0,1611.0,2055.0,2526.0,2981.0,3429.0,3863.0,4281.0,4713.0,5131.0,5525.0,5893.0,6227.0,6533.0,6793.0,7018.0,7212.0,7377.0,7515.0,7606.0,7668.0,7708.0,7733.0,7755.0
100110,604.0,827.0,1115.0,1473.0,1916.0,2545.0,3300.0,4106.0,4890.0,5663.0,6412.0,7135.0,7903.0,8649.0,9353.0,10012.0,10615.0,11167.0,11641.0,12054.0,12412.0,12721.0,12981.0,13166.0,13312.0,13433.0,13519.0,13580.0
100111,532.0,728.0,979.0,1283.0,1651.0,2173.0,2800.0,3466.0,4111.0,4746.0,5361.0,5954.0,6577.0,7181.0,7747.0,8266.0,8740.0,9174.0,9544.0,9866.0,10144.0,10383.0,10580.0,10728.0,10842.0,10920.0,10986.0,11041.0
100112,715.0,962.0,1276.0,1653.0,2105.0,2746.0,3512.0,4323.0,5107.0,5878.0,6622.0,7339.0,8077.0,8790.0,9462.0,10088.0,10658.0,11178.0,11619.0,12001.0,12328.0,12607.0,12839.0,13010.0,13124.0,13189.0,13226.0,13262.0
100113,475.0,643.0,854.0,1103.0,1399.0,1817.0,2319.0,2849.0,3362.0,3867.0,4354.0,4823.0,5309.0,5778.0,6220.0,6633.0,7009.0,7352.0,7643.0,7895.0,8112.0,8297.0,8446.0,8515.0,8573.0,8616.0,8650.0,8676.0
100114,524.0,717.0,953.0,1225.0,1537.0,1979.0,2508.0,3069.0,3612.0,4146.0,4663.0,5160.0,5681.0,6185.0,6660.0,7105.0,7510.0,7880.0,8195.0,8466.0,8667.0,8830.0,8955.0,9026.0,9080.0,9127.0,9163.0,9194.0
100116,570.0,771.0,1001.0,1241.0,1488.0,1836.0,2253.0,2697.0,3126.0,3549.0,3960.0,4355.0,4768.0,5168.0,5526.0,5807.0,6062.0,6297.0,6495.0,6668.0,6817.0,6946.0,7050.0,7109.0,7145.0,7176.0,7204.0,7232.0
100117,1352.0,1806.0,2369.0,3022.0,3781.0,4857.0,6145.0,7509.0,8828.0,10123.0,11375.0,12579.0,13809.0,14997.0,16114.0,17156.0,18101.0,18964.0,19694.0,20304.0,20818.0,21257.0,21596.0,21818.0,21946.0,22025.0,22100.0,22168.0
