Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,1.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,7.0,8.0,9.0,9.0,10.0,11.0,11.0,12.0,12.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0
100101,86.0,120.0,204.0,290.0,378.0,455.0,523.0,600.0,678.0,759.0,840.0,922.0,1011.0,1107.0,1201.0,1285.0,1353.0,1385.0,1415.0,1442.0,1465.0,1493.0,1499.0,1503.0,1504.0,1502.0,1497.0,1482.0
100102,105.0,152.0,219.0,294.0,375.0,435.0,469.0,506.0,546.0,589.0,634.0,686.0,755.0,828.0,898.0,963.0,1017.0,1052.0,1086.0,1118.0,1149.0,1183.0,1206.0,1225.0,1242.0,1256.0,1266.0,1258.0
100103,141.0,196.0,279.0,365.0,457.0,524.0,560.0,606.0,659.0,717.0,781.0,856.0,954.0,1053.0,1148.0,1234.0,1305.0,1357.0,1406.0,1453.0,1495.0,1546.0,1565.0,1581.0,1591.0,1597.0,1599.0,1575.0
100104,31.0,41.0,58.0,76.0,96.0,110.0,119.0,132.0,147.0,164.0,183.0,205.0,232.0,259.0,285.0,309.0,330.0,346.0,361.0,375.0,389.0,404.0,408.0,411.0,413.0,414.0,413.0,407.0
100105,66.0,107.0,178.0,259.0,351.0,420.0,472.0,533.0,598.0,667.0,739.0,818.0,906.0,1004.0,1102.0,1200.0,1286.0,1344.0,1403.0,1461.0,1519.0,1584.0,1632.0,1679.0,1724.0,1768.0,1808.0,1837.0
100106,65.0,99.0,187.0,280.0,376.0,467.0,556.0,662.0,774.0,893.0,1015.0,1140.0,1271.0,1417.0,1565.0,1705.0,1829.0,1906.0,1982.0,2056.0,2126.0,2206.0,2247.0,2286.0,2322.0,2357.0,2388.0,2413.0
100107,90.0,137.0,223.0,318.0,421.0,508.0,576.0,651.0,732.0,816.0,903.0,1002.0,1132.0,1272.0,1411.0,1541.0,1653.0,1725.0,1795.0,1861.0,1920.0,1984.0,2029.0,2069.0,2104.0,2136.0,2161.0,2152.0
100108,81.0,117.0,170.0,228.0,291.0,341.0,371.0,403.0,436.0,470.0,504.0,546.0,608.0,673.0,737.0,798.0,849.0,881.0,913.0,944.0,972.0,1003.0,1029.0,1053.0,1075.0,1095.0,1113.0,1108.0
100109,62.0,97.0,145.0,198.0,256.0,288.0,298.0,313.0,330.0,350.0,372.0,398.0,430.0,462.0,492.0,519.0,540.0,554.0,567.0,578.0,589.0,605.0,609.0,611.0,611.0,609.0,605.0,594.0
100110,69.0,100.0,143.0,191.0,245.0,282.0,301.0,328.0,359.0,395.0,435.0,487.0,562.0,638.0,712.0,781.0,841.0,889.0,935.0,979.0,1020.0,1065.0,1090.0,1113.0,1131.0,1147.0,1157.0,1142.0
100111,59.0,94.0,160.0,233.0,313.0,378.0,433.0,499.0,572.0,653.0,741.0,839.0,956.0,1081.0,1208.0,1330.0,1440.0,1520.0,1599.0,1677.0,1752.0,1835.0,1890.0,1942.0,1991.0,2036.0,2072.0,2083.0
100112,139.0,203.0,292.0,390.0,499.0,569.0,599.0,633.0,670.0,711.0,755.0,809.0,884.0,962.0,1040.0,1112.0,1173.0,1221.0,1267.0,1313.0,1360.0,1418.0,1461.0,1502.0,1541.0,1578.0,1612.0,1618.0
100113,177.0,255.0,385.0,524.0,673.0,771.0,822.0,876.0,933.0,992.0,1053.0,1119.0,1195.0,1277.0,1354.0,1422.0,1470.0,1493.0,1513.0,1531.0,1547.0,1572.0,1581.0,1586.0,1589.0,1587.0,1583.0,1565.0
100114,153.0,210.0,301.0,393.0,484.0,534.0,548.0,564.0,580.0,621.0,664.0,711.0,768.0,827.0,881.0,928.0,963.0,981.0,996.0,1009.0,1020.0,1036.0,1035.0,1032.0,1025.0,1016.0,1003.0,978.0
100116,32.0,45.0,64.0,86.0,110.0,128.0,138.0,152.0,167.0,185.0,206.0,233.0,273.0,314.0,355.0,395.0,432.0,464.0,496.0,528.0,559.0,593.0,619.0,644.0,667.0,689.0,710.0,714.0
100117,91.0,135.0,198.0,267.0,346.0,407.0,443.0,484.0,530.0,580.0,635.0,704.0,802.0,906.0,1011.0,1113.0,1206.0,1280.0,1354.0,1429.0,1503.0,1585.0,1652.0,1717.0,1779.0,1839.0,1897.0,1917.0
100118,105.0,155.0,245.0,347.0,461.0,561.0,645.0,737.0,835.0,938.0,1044.0,1161.0,1305.0,1463.0,1625.0,1783.0,1927.0,2024.0,2123.0,2223.0,2317.0,2422.0,2511.0,2599.0,2686.0,2771.0,2854.0,2909.0
100119,100.0,152.0,244.0,342.0,448.0,521.0,571.0,633.0,701.0,774.0,851.0,936.0,1037.0,1142.0,1243.0,1335.0,1411.0,1459.0,1503.0,1543.0,1580.0,1624.0,1638.0,1647.0,1652.0,1654.0,1647.0,1620.0
100120,15.0,15.0,16.0,18.0,19.0,21.0,22.0,24.0,25.0,27.0,28.0,29.0,31.0,32.0,34.0,35.0,36.0,37.0,37.0,38.0,38.0,39.0,39.0,40.0,40.0,41.0,41.0,42.0
100122,144.0,208.0,359.0,522.0,694.0,847.0,989.0,1160.0,1343.0,1536.0,1735.0,1940.0,2150.0,2375.0,2593.0,2796.0,2966.0,3062.0,3152.0,3236.0,3310.0,3393.0,3413.0,3425.0,3429.0,3426.0,3411.0,3384.0
